handoff_ref,ticket_ref,check_id,phase,check,owner_role,expected_evidence,missing_information_action,status,observed_result,evidence_ref
,,H01,Prepare,Identify the authoritative ticket and correct entity/service,Internal case owner,Ticket reference; classification; entity and service scope,Resolve record or ownership ambiguity before dependent work,Not run,,
,,H02,Prepare,Record the named internal case owner and alternate,Duty manager,Protected person references and acknowledged coverage,Assign internal coordination; a provider queue is insufficient,Not run,,
,,H03,Prepare,Confirm type and impact/urgency priority,Triage analyst,Request/incident/security/problem/change type; P1-P4 rationale and changes,Route urgent security concerns immediately and reassess unsupported priority,Not run,,
,,H04,Preserve clocks,Preserve original receipt and meaningful human response,Sending operator,received_at_utc and human_response_at_utc with provenance; blank if not observed,Recover supported timestamps; record unknown values without fabrication,Not run,,
,,H05,Preserve clocks,Identify the service-level definition and calendar,Internal case owner,Adopted definition/version; calendar/time zone; separate update expectations,Ask service owner to resolve applicability; do not invent a target,Not run,,
,,H06,Preserve clocks,Carry elapsed time and previous timer events,Sending operator,Elapsed wall and applicable service time; priority/assignment history; pause evidence; breaches,Retain history and escalate timer discrepancies instead of resetting clocks,Not run,,
,,H07,Prepare,Summarize completed actions and results,Sending operator,Action/attempt references; observed results; actor and time; approved scope,Do not claim completion without evidence,Not run,,
,,H08,Prepare,Identify pending actions and uncertain outcomes,Sending operator,In-flight operations; unknown target state; conflicting evidence; next check,Inspect source state before retry or concurrent work,Not run,,
,,H09,Authorize,Identify action authority and approval dependencies,Internal case owner,Approver or standing-authority reference; limits; expiry; spend decision if applicable,Pause reserved actions and contact authorized alternate,Not run,,
,,H10,Protect evidence,Provide a readable minimal evidence package,Sending operator,Protected diagnostics and timeline references; recipient can access necessary evidence,Use an approved restricted route; do not broaden visibility by default,Not run,,
,,H11,Protect evidence,Check sensitivity and recipient distribution,Sending operator,Classification; verified recipients; sanitized vendor bundle; comment visibility check,Remove unnecessary disclosures and seek specialist handling when needed,Not run,,
,,H12,Route,Identify the actual receiving person/team route,Internal case owner,Verified role/contact route; skill/access/capacity; requested escalation path,Use functional or management alternate rather than blind reassignment,Not run,,
,,H13,Route,State the bounded requested action,Sending operator,Specific diagnostic/action/decision; desired evidence; known exclusions,Clarify the ask and scope before treating any response as acceptance,Not run,,
,,H14,Coverage,Verify current support coverage,Internal case owner,Supported hours/time zone; remote/on-call scope; independent route where needed,Record the coverage gap and invoke the adopted fallback,Not run,,
,,H15,Coverage,Separate required physical work from remote support,Internal case owner,Physical step; competent authorized local resource; access and attendance basis,Escalate missing onsite capability; do not infer it from remote availability,Not run,,
,,H16,Vendor,Verify entitlement and vendor case linkage when applicable,Vendor coordinator,Entitlement reference; recognized requester; provider case; approved charges or not applicable rationale,Resolve support/commercial scope and preserve internal ownership,Not run,,
,,H17,Coordinate,Prevent conflicting execution,Receiving operator,One execution coordinator; in-flight jobs reviewed; planned changes and rollback scope,Hold competing actions under authority until state is reconciled,Not run,,
,,H18,Communicate,Update the requester through the approved route,Internal case owner,Impact/action/owner update reference; sent status; no unsupported ETA,Send an authorized meaningful update and retain any delivery uncertainty,Not run,,
,,H19,Communicate,Set next update and review checkpoints,Internal case owner,Next update time with time zone; reviewer; blocker owner; escalation trigger,Set the checkpoint using adopted rules before leaving work waiting,Not run,,
,,H20,Fallback,Confirm non-response and end-of-shift coverage,Duty manager,Alternate route; escalation trigger; accepted shift cover or recorded unresolved gap,Escalate failed response; do not assume unlimited outgoing availability,Not run,,
,,H21,Accept,Obtain explicit scoped handoff acceptance,Receiving owner,Named recipient; accepted task; first action; next update; acceptance time and reference,Keep unaccepted tasks with internal coordination and escalate the gap,Not run,,
,,H22,Verify,Agree how the outcome will be checked,Reviewer,System-of-record check; original user-task test; expected result; evidence and limitations,Do not equate assignment or vendor closure with verified recovery,Not run,,
,,H23,Follow up,Retain residual problem/change/security work,Internal case owner,Linked records; remaining owner; accepted next action; review date; temporary-access cleanup,Keep unfinished work visible and obtain accepted follow-up ownership,Not run,,
,,H24,Close or return,Reconcile restoration resolution closure and reopen handling,Internal case owner,restored_at_utc/resolved_at_utc/closed_at_utc only when observed; acceptance; reopen route; return handoff if needed,Do not close as repaired on silence; preserve history on recurrence,Not run,,
