risk_id,scenario,threat_source,affected_assets,related_controls,inherent_likelihood,inherent_impact,inherent_rating,residual_likelihood,residual_impact,residual_rating,status,owner_role,treatment,target_date,verification_evidence,acceptance_authority,review_date
GH-RISK-01,"A personal access token with organization-wide write scope leaks through a laptop, log, or pasted configuration and is used to read or modify private repositories.",External attacker using a stolen credential,Private repositories; Actions secrets; connected services,GH-04;GH-06;GH-10;GH-19,3,3,3 x 3 = 9 Critical,1,2,1 x 2 = 2 Low,Proposed,Platform owner,"Restrict classic tokens, require approval and short lifetimes for fine-grained tokens, enable push protection, and review active tokens quarterly.",Unassigned,Pending,Pending,Unassigned
GH-RISK-02,A compromised or retagged third-party action exfiltrates repository secrets or cloud credentials during a workflow run.,Supply-chain attacker through a marketplace or public action,Actions secrets; cloud deployment credentials; build artifacts,GH-13;GH-14;GH-15;GH-10,2,3,2 x 3 = 6 High,1,2,1 x 2 = 2 Low,Proposed,Automation owner,"Allow only listed actions pinned to full commit SHAs, keep the default token read-only, scope secrets to environments, and replace stored cloud keys with OIDC.",Unassigned,Pending,Pending,Unassigned
GH-RISK-03,A former contractor remains an outside collaborator with write access after the engagement ends and retains or alters code.,Former insider or takeover of a dormant account,Internal tooling repositories; intellectual property,GH-03;GH-04;GH-19,3,2,3 x 2 = 6 High,1,2,1 x 2 = 2 Low,Proposed,Engineering manager,"Record a sponsor and end date for every outside collaborator, run a dated quarterly review, and test that removal ends access.",Unassigned,Pending,Pending,Unassigned
GH-RISK-04,"A private repository holding internal tooling, historical credentials, or client data is made public by mistake and is indexed within minutes.",Accidental insider action,Repository content; secrets in history; firm reputation,GH-02;GH-10;GH-19,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Organization owner,"Limit visibility changes to owners, block public repository creation by members, keep secret scanning active, and alert on visibility change events.",Unassigned,Pending,Pending,Unassigned
GH-RISK-05,An AI coding agent or automation with write access to production repositories merges or pushes unreviewed changes that alter deployment behavior.,Agent error or prompt injection through issue and pull request content,Production repositories; deployment pipelines; downstream systems,GH-08;GH-09;GH-13;GH-14;GH-17;GH-18,3,3,3 x 3 = 9 Critical,1,3,1 x 3 = 3 Moderate,Proposed,Platform owner,"Require reviewed pull requests on protected branches, prevent Actions from approving pull requests, gate production environments with human reviewers, and limit agent repositories.",Unassigned,Pending,Pending,Unassigned
GH-RISK-06,A member account without phishing-resistant second factor is phished or session-hijacked and used to read private repositories and approve pull requests.,External attacker using phishing,Member accounts; private repositories; review integrity,GH-04;GH-05;GH-08;GH-19,3,3,3 x 3 = 9 Critical,2,2,2 x 2 = 4 Moderate,Proposed,Security lead,"Require 2FA with secure methods, enforce SAML SSO and SCIM where the plan allows, and require a second reviewer for production changes.",Unassigned,Pending,Pending,Unassigned
GH-RISK-07,"The sole organization owner leaves or loses access and nobody can administer billing, membership, or security settings.",Personnel change or lost credentials,The organization; every repository and setting,GH-01;GH-20,2,3,2 x 3 = 6 High,1,2,1 x 2 = 2 Low,Proposed,Organization owner,"Keep at least two accountable owners with deputies, document the ownership transfer runbook, and export membership on a schedule.",Unassigned,Pending,Pending,Unassigned
GH-RISK-08,An API key or cloud credential is committed to a repository and later harvested by a scanner or a compromised collaborator.,Accidental commit followed by an opportunistic attacker,Connected SaaS and cloud accounts; data those services hold,GH-10;GH-15;GH-19,3,3,3 x 3 = 9 Critical,1,2,1 x 2 = 2 Low,Proposed,Automation owner,"Enable push protection with a limited bypass list, replace long-lived cloud credentials with OIDC, and rotate any secret that reaches history.",Unassigned,Pending,Pending,Unassigned
GH-RISK-09,A pull request from a fork triggers a workflow that runs untrusted code on a self-hosted runner with persistent credentials or internal network access.,External contributor or attacker using a fork,Runner host; internal network; secrets on the runner,GH-13;GH-14;GH-16,2,3,2 x 3 = 6 High,1,2,1 x 2 = 2 Low,Proposed,Automation owner,"Require approval for fork workflows, keep self-hosted runners off public repositories, use ephemeral runners in restricted groups, and keep secrets out of runner hosts.",Unassigned,Pending,Pending,Unassigned
GH-RISK-10,A known vulnerable dependency or code flaw ships in an internal automation because alerts are disabled or have no owner.,External attacker exploiting a published vulnerability,Internal automations; data they process,GH-08;GH-11;GH-12,2,2,2 x 2 = 4 Moderate,1,2,1 x 2 = 2 Low,Proposed,Engineering manager,"Enable Dependabot alerts and security updates, run code scanning on production repositories, and assign every alert an owner and triage window.",Unassigned,Pending,Pending,Unassigned
GH-RISK-11,An investigation cannot reconstruct who changed a setting or accessed a repository because audit events aged out of the native window or were never exported.,Any incident combined with evidence loss,Audit evidence; incident response capability,GH-19;GH-20,2,2,2 x 2 = 4 Moderate,1,2,1 x 2 = 2 Low,Proposed,Security lead,"Schedule audit log exports or streaming before the 180-day window closes, test retrieval of a synthetic event, and store exports with the backup set.",Unassigned,Pending,Pending,Unassigned
GH-RISK-12,An OAuth app or GitHub App installed by a member with broad permissions reads private repositories or acts on the organization without review.,Malicious or over-permissioned third-party application,Private repositories; organization data; webhook deliveries,GH-06;GH-17;GH-19,2,3,2 x 3 = 6 High,1,2,1 x 2 = 2 Low,Proposed,Platform owner,"Keep OAuth app access restrictions enabled, review installed GitHub Apps and their permissions quarterly, and suspend apps without an owner.",Unassigned,Pending,Pending,Unassigned
