risk_id,scenario,threat_source,affected_assets,related_controls,inherent_likelihood,inherent_impact,inherent_rating,residual_likelihood,residual_impact,residual_rating,status,owner_role,treatment,target_date,verification_evidence,acceptance_authority,review_date
CF-RISK-01,"Registrar account takeover unlocks or repoints the firm's domain, redirecting web and mail traffic to an attacker",External attacker using phished or reused administrator credentials,Registered domains; DNS zones; inbound mail; public website; investor trust,CF-01;CF-02;CF-05;CF-06;CF-08,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Domain owner,"Keep transfer lock and auto-renew on; enforce 2FA and least-privilege membership; alert on unlock, contact, and nameserver changes in the audit log; rehearse registrar recovery",Unassigned,Pending,Unassigned,Unassigned
CF-RISK-02,An unreviewed DNS record change points a hostname at the wrong destination or breaks mail authentication for the firm's domain,Insider error or a compromised account member,DNS zones; mail flow; SaaS verification records; public website,CF-03;CF-05;CF-08;CF-19,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,DNS owner,Document record owners with comments or tags; keep a dated zone export; review DNS changes in the audit log; require a second person for production record changes,Unassigned,Pending,Unassigned,Unassigned
CF-RISK-03,"An over-scoped, non-expiring API token used by an automation is leaked from a repository or log and used to alter zones or security settings",External attacker with access to leaked secrets; departed contractor,DNS zones; WAF and TLS settings; Access policies; account audit trail,CF-07;CF-08;CF-19,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Automation owner,"Issue account-owned tokens with minimum permissions, zone scope, expiry, and client IP restriction; retire Global API Key use; roll tokens on leaver events; alert on token creation",Unassigned,Pending,Unassigned,Unassigned
CF-RISK-04,"The origin server is reachable directly by IP, so requests bypass the WAF, rate limiting, and Access entirely",External attacker using historical DNS or certificate transparency data,Origin servers; application data; availability of the public website,CF-14;CF-13;CF-09,3,2,3 x 2 = 6 High,1,2,1 x 2 = 2 Low,Proposed,Platform owner,Connect origins through Cloudflare Tunnel or enforce authenticated origin pulls with a Cloudflare IP allowlist; rotate origin IPs after onboarding; test direct-to-origin access each quarter,Unassigned,Pending,Unassigned,Unassigned
CF-RISK-05,"A web application vulnerability is exploited because managed rulesets are absent, log-only, or bypassed by a DNS-only record",External attacker scanning for known vulnerabilities,Public website; content management system; visitor data,CF-09;CF-11;CF-19,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Application owner,Deploy the managed rulesets available on the plan in blocking mode after a logged evaluation; proxy every hostname that carries an application; review security events weekly,Unassigned,Pending,Unassigned,Unassigned
CF-RISK-06,Credential stuffing or brute force against a login or administrative path on a proxied hostname leads to account compromise or service degradation,Automated abuse; opportunistic attacker,Administrative interfaces; user accounts; application availability,CF-10;CF-11;CF-15,3,2,3 x 2 = 6 High,1,2,1 x 2 = 2 Low,Proposed,Application owner,Restrict administrative paths with Zone Lockdown or Access; enable the plan's bot protection; add rate limiting rules on login and form endpoints tested against legitimate clients,Unassigned,Pending,Unassigned,Unassigned
CF-RISK-07,"Mail is spoofed from a firm domain, including a parked domain, because SPF, DKIM, or DMARC records are missing or misaligned",Phishing actor impersonating the firm to investors or portfolio companies,Firm reputation; investor and counterparty relationships; mail deliverability,CF-04;CF-03,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Mail owner,"Publish provider-documented SPF, DKIM, and DMARC records for every domain including non-sending ones; review DMARC reports; move to an enforcing DMARC policy after remediation",Unassigned,Pending,Unassigned,Unassigned
CF-RISK-08,"Visitor traffic is downgraded or intercepted through legacy TLS, or an expired origin certificate causes a 526 outage for the public website",Network attacker; unmanaged certificate expiry,Public website; visitor confidentiality; availability,CF-12;CF-13;CF-19,2,2,2 x 2 = 4 Moderate,1,2,1 x 2 = 2 Low,Proposed,Platform owner,"Set minimum TLS 1.2, enable HSTS after subdomain review, use Full (strict) with tracked origin certificate expiry, and route certificate notifications to a monitored destination",Unassigned,Pending,Unassigned,Unassigned
CF-RISK-09,"A leaver retains access to an internal application because an Access policy references a stale group or email, or a One-time PIN login remains available",Former staff member or contractor; attacker with the leaver's mailbox,Internal applications; deal and finance data; audit trail,CF-15;CF-16;CF-08,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Identity owner,Scope Access policies to identity provider groups; disable One-time PIN for staff applications; run the policy tester for each leaver; release the seat and verify denial,Unassigned,Pending,Unassigned,Unassigned
CF-RISK-10,An unmanaged or compromised staff device reaches internal applications or resolves a phishing domain because posture checks and Gateway filtering are absent,Malware on a personal device; phishing campaign,Internal applications; staff credentials; deal and finance data,CF-17;CF-18;CF-15,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Endpoint owner,Deploy the WARP client with approved posture checks; require posture in Access policies; block security categories in Gateway DNS; test a non-compliant device and a synthetic blocked lookup,Unassigned,Pending,Unassigned,Unassigned
CF-RISK-11,The firm loses access to its Cloudflare account during an incident because the only super administrator has left or lost the 2FA device and backup codes,Operational dependency on one person; lost or replaced hardware,"Ability to change DNS, WAF, and Access settings under time pressure",CF-20;CF-05;CF-06,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Technology operations lead,Maintain at least two separately accountable super administrators with tested backup codes in private custody; rehearse the lockout and compromise-response steps; keep configuration exports outside the account,Unassigned,Pending,Unassigned,Unassigned
CF-RISK-12,A security event or certificate failure goes unnoticed because notifications route to a departed person's mailbox and audit logs are never reviewed,Detection failure; unmaintained notification routing,Incident detection and response; log retention; public website availability,CF-19;CF-08,2,2,2 x 2 = 4 Moderate,1,2,1 x 2 = 2 Low,Proposed,Technology operations lead,"Route notifications to a shared, monitored destination with an owner; test delivery; review audit logs on a cadence; decide retention or export before the 18-month window expires",Unassigned,Pending,Unassigned,Unassigned
