"id","name","publisher","url","category","audience","access_model","free_scope","access_notes","starter_task","reviewed_on","source_titles","source_urls","source_dates","source_support"
"adobe-learn","Adobe Learn","Adobe","https://www.adobe.com/learn","Workplace and business tools","Communications staff; Marketing staff; Document owners","public","Free Adobe tutorials and courses spanning design, photography, video, and document work.","Adobe Learn publicly advertises free learning. Sign-in supports a saved learning journey; paid Adobe applications or premium features are not supplied by the tutorials. A software trial is not counted as free training entitlement.","Using a fictional PDF, write a redaction verification checklist that checks visible content, search results, and copied text. Practice only in an authorized app with the required features, or review the steps on paper.","2026-09-19","Adobe Learn","https://www.adobe.com/learn","unknown","Explicitly offers thousands of free tutorials and courses and includes PDF redaction, protection, and editing topics."
"airtable-academy","Airtable Academy","Airtable","https://academy.airtable.com/","Workplace and business tools","Operations staff; App builders; Workspace administrators","free-account","Free self-paced training and certification access for Airtable users on Free, Team, Business, and Enterprise Scale plans.","The official announcement explicitly removes plan-based Academy restrictions. The academy front door returned 403 to the research tool; enrollment and playback were not tested. Learning access does not remove limits on automations, integrations, or other product features.","Design a fictional software inventory with separate application, owner, and renewal records. Explain the record relationships and demonstrate how an unknown renewal date stays unknown rather than becoming zero.","2026-09-19","Airtable Academy: Now Open for All Customers, No Matter Your Plan!","https://community.airtable.com/announcements-6/airtable-academy-now-open-for-all-customers-no-matter-your-plan-1564","2024-10-08","Official employee announcement says Academy is free for all plans, including Free, and covers courses and certification."
"atlassian-learning","Atlassian Learning","Atlassian","https://community.atlassian.com/learning","Workplace and business tools","Project teams; Service desk staff; Knowledge managers; Workspace administrators","public","Free courses and learning paths across Jira, Confluence, Jira Service Management, Trello, Loom, and other Atlassian tools.","The former Atlassian University address redirects to this destination. The public hub identifies free courses; sign-in may be requested for enrollment or progress. Do not assume live team training or formal certification exams are included. Product access remains separate.","Map a fictional support issue from intake to resolution, then draft a short linked knowledge article that records the cause, fix, owner, and review date.","2026-09-19","Atlassian Learning","https://community.atlassian.com/learning","unknown","Public learning hub explicitly offers free courses and product learning paths."
"box-university","Box University","Box","https://training.box.com/catalog","Workplace and business tools","Employees; Content owners; Collaboration administrators","free-account","Free self-paced admin and Intelligent Content Management learning with the associated certification exam described in Box's FAQ.","The certification FAQ permits a free Box University account or a Box product account. Its associated self-paced courses and exam are free. This does not include every instructor-led offering or paid product features used for practice.","For a fictional policy folder, outline document ownership, review approval, version handling, and access rules. Identify how evidence of approval differs from someone merely opening the document.","2026-09-19","Get certified for free as an Intelligent Content Expert | Box user support | Box Certified Admin FAQs","https://community.box.com/general-15/get-certified-for-free-as-an-intelligent-content-expert-now-live-31714?sort=mostRecentFirst | https://www.box.com/en-in/resources/user-support | https://support.box.com/hc/en-us/articles/42153466746771-Box-Certified-Admin-FAQs","2025-06-23 | unknown | unknown","Official Box announcement describes the Intelligent Content Management program and its certification exam as free. | Directs users to log into Box University with their Box account and links training resources. | Permits a free Box University account as an alternative to a product account; states associated self-paced courses and exam are free."
"canva-design-school","Canva Design School","Canva","https://www.canva.com/design-school/","Workplace and business tools","Communications staff; Marketing staff; Team leads","public","Public tutorials, guides, and course discovery, including the explicitly free Canva AI certification course highlighted on the site.","The free scope is selected learning identified by Design School, not every Canva asset or product feature. Course progress and certification may require an account; enrollment and playback were not tested. Pro features and content licenses remain separate.","Create a brief for a fictional internal announcement: audience, essential message, accessible text hierarchy, and one call to action. Review the draft for readable contrast and unsupported AI-generated claims.","2026-09-19","Canva Design School","https://www.canva.com/design-school/","unknown","Public learning destination offers design and communication tutorials and identifies a free Canva AI certification course."
"clickup-university","ClickUp University","ClickUp","https://university.clickup.com/","Workplace and business tools","Employees; Project coordinators; Workspace administrators","free-account","Free courses, certifications, and tutorials covering ClickUp use and configuration.","ClickUp's current FAQ describes University courses as free. Official help says courses and certificates are available to all ClickUp users and use SSO through a ClickUp workspace. Paid product or expanded AI capabilities are separate; enrollment was not performed.","Define a fictional team's task statuses and write a short operating rule for ownership, due dates, blocked work, and completion evidence. Identify one automation that would require separate approval before activation.","2026-09-19","ClickUp FAQs | Intro to ClickUp University","https://clickup.com/faqs | https://help.clickup.com/hc/en-us/articles/9865266661655-Intro-to-ClickUp-University","unknown | unknown","Explicitly describes free University courses, certifications, and detailed tutorials. | Says courses, use cases, training, and certificates are available to all users and explains workspace SSO."
"docusign-university","Docusign University","Docusign","https://dsucustomers.docusign.com/","Workplace and business tools","Operations staff; Agreement coordinators; Contract administrators","customer-included","Selected free IAM courses and videos, plus complimentary eSignature webinars identified in official Docusign learning guidance.","This entry targets existing Docusign customers. The customer learning portal blocked automated access, so enrollment was not tested. Campus Pass instructor-led deep dives are a separate subscription. Free community registration is not treated as proof of learning-portal or product entitlement.","Draw a fictional agreement workflow with a preparer, reviewer, signer, and final record owner. Identify the approval needed before sending and the evidence required before declaring the agreement complete.","2026-09-19","Begin your IAM Journey with Docusign University | Quick Start eSignature User Learning Roadmap","https://community.docusign.com/tips-from-docusign-155/begin-your-iam-journey-with-docusign-university-24389 | https://community.docusign.com/tips-from-docusign-155/quick-start-esignature-user-learning-roadmap-22880","2025-06-09 | unknown","Official employee post identifies free IAM webinars, self-paced courses, and video playlists. | Separates complimentary webinars from Campus Pass subscription deep dives and links learning paths."
"dropbox-learn","Dropbox Learn","Dropbox","https://learn.dropbox.com/","Workplace and business tools","Employees; Team leads; Collaboration administrators","public","Public self-guided learning and short videos, with fundamentals and business user or administrator learning paths.","The fundamentals course is publicly listed for Basic, Plus, Family, and Professional accounts; business training requires corresponding product access to practice. Course launch and playback were not tested. The site's displayed zero-minute duration is not treated as reliable timing data.","Plan a fictional team's shared folder and external-review process. Explain ownership, intended recipient access, how to avoid conflicting copies, and how access should end.","2026-09-19","Dropbox Learn | Dropbox fundamentals course","https://learn.dropbox.com/ | https://learn.dropbox.com/self-guided-learning/dropbox-fundamentals-course","unknown | unknown","Public learning hub lists self-guided fundamentals and business learning paths plus short videos. | Public course overview covers storage, upload, download, and sharing for named personal account types."
"figma-learn","Figma Learn","Figma","https://help.figma.com/hc/en-us/categories/360002042553-Figma-design","Workplace and business tools","Designers; Product teams; Communications staff","public","Public Figma design learning, including courses, projects, video tutorials, prototyping, components, and collaboration guidance.","Reading the learning material is public. Hands-on practice requires a Figma account and the appropriate feature permissions or plan. No certification, paid product entitlement, or video playback is claimed.","Draft a two-screen fictional employee-help prototype. Add a clear next step, one error state, and a handoff note explaining what a developer should verify rather than assume.","2026-09-19","Figma design learning","https://help.figma.com/hc/en-us/categories/360002042553-Figma-design","unknown","Public learning collection links courses, projects, tutorials, and guidance on design and collaboration tasks."
"fin-academy","Fin Academy (formerly Intercom Academy)","Intercom","https://academy.fin.ai/","Workplace and business tools","Customer service staff; Support operations staff; Knowledge managers","customer-included","Academy courses for existing Intercom users, including product and support-operations learning.","Current official signup guidance requires an Intercom account and links the renamed Fin Academy. Older published Academy terms describe free learning accounts and say course quizzes do not require workspace use. This entry conservatively covers existing customers, not acquisition of an Intercom product trial or any claim that Fin usage is free.","Draft a fictional support knowledge article and define when an AI support answer must escalate to a person. Write two test questions: one clearly covered by the article and one requiring information it does not contain.","2026-09-19","Signing up for Fin Academy | Academy Terms","https://www.intercom.com/help/en/articles/4322438-signing-up-for-fin-academy | https://www.intercom.com/legal/academy-terms","2026-05-18 | 2019-10-10","Current help names academy.fin.ai and explains Intercom-account sign-in for course access. | Published terms describe free Academy accounts and distinguish course quizzes from recommended workspace practice."
