control_id,category,title,assertion,evidence_to_collect,review_gate,source_urls,scope,applicable,implementation,observed_value,observed_at_utc,reviewer,private_evidence_ref,gap_owner,next_action,due_date
AWS-01,account,Isolated management account,"All accounts belong to one AWS Organization with all features enabled; the management account holds no workloads or firm data, and access to it is limited to named administrators whose access is reviewed at least quarterly.","Organization settings showing all features enabled, account and OU inventory, management-account resource inventory, and the dated access review.","SCPs never restrict the management account, so anything deployed there sits outside the guardrails; plan a migration path before moving resources out.",https://docs.aws.amazon.com/organizations/latest/userguide/orgs_best-practices_mgmt-acct.html | https://docs.aws.amazon.com/prescriptive-guidance/latest/security-reference-architecture/management-account.html | https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_securely_operate_multi_accounts.html,,,,,,,,,,
AWS-02,account,Tested service control policy guardrails,"Service control policies attached above every member account deny leaving the organization, closing accounts, disabling CloudTrail, GuardDuty, Security Hub CSPM, or AWS Config, and using unapproved Regions; each policy was piloted in a test OU before broad attachment.","Attached SCP documents with their target OUs, the effective policy view for a sample account, and the pilot test record.","SCPs require all features enabled and grant nothing on their own; keep FullAWSAccess or a reviewed replacement, and remember that service-linked roles and the management account are not restricted.",https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps.html | https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps_examples.html,,,,,,,,,,
AWS-03,identity,Protected root users,"Every account's root user has MFA registered (a hardware or FIDO device for the management account), holds no access keys, uses a group mailbox and a reviewed recovery phone number, and member-account root credentials are centrally managed or removed.","Root credential status per account, MFA device inventory, custodian record for mailbox and phone, and a root sign-in alert test.","Removing member-account root credentials changes recovery paths; rehearse the privileged-task flow before deleting them, and note that MFA compliance rules read removed credentials as not applicable.",https://docs.aws.amazon.com/IAM/latest/UserGuide/root-user-best-practices.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/id_root-enable-root-access.html,,,,,,,,,,
AWS-04,identity,Federated human access with enforced MFA,"All human console and CLI access uses IAM Identity Center connected to the firm's external identity provider with SCIM provisioning, and MFA is enforced at that provider for every user assigned to AWS.","Identity source configuration, SCIM synchronization status, the provider's MFA policy for the AWS application, and a sign-in test by a representative user.",IAM Identity Center MFA settings do not apply when an external identity provider is the identity source; the provider's policy is the enforcement point and must be evidenced there.,https://docs.aws.amazon.com/singlesignon/latest/userguide/manage-your-identity-source-idp.html | https://docs.aws.amazon.com/singlesignon/latest/userguide/enable-mfa.html | https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_identities_identity_provider.html,,,,,,,,,,
AWS-05,identity,No long-lived human credentials,"No IAM user holds a console password or access key for human use; every remaining IAM user access key has a documented workload owner, last-use review, rotation date, and removal plan.","IAM credential report from each account, IAM user inventory with owners, and the access-key rotation and removal record.","Third-party tools that cannot use IAM Identity Center are the usual holdout; record them as exceptions with an expiry, and note the credential report lists only the first two keys per user.",https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_getting-report.html | https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_identities_unique.html,,,,,,,,,,
AWS-06,identity,Least-privilege permission sets,"Permission sets map to job functions, administrative sets are assigned only to named operators, session durations are set deliberately, and unused permissions surfaced by IAM Access Analyzer are reviewed at least quarterly.","Permission set inventory with assignments and session durations, and the dated Access Analyzer unused-access review with decisions.",Unused access analyzers are billed per role and user analyzed; agree the analyzer scope and budget before relying on them for evidence.,https://docs.aws.amazon.com/singlesignon/latest/userguide/permissionsetsconcept.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/what-is-access-analyzer.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html,,,,,,,,,,
AWS-07,recovery,Tested emergency access,"A documented emergency access path exists for an identity provider or IAM Identity Center outage, uses named accounts with MFA and no access keys, raises an alert when used, and was exercised within the review window.","Emergency access design, custodian list, CloudTrail alert configuration for the emergency roles, and the dated exercise record.","Build and test emergency access before an outage; it cannot be created once the access needed to create it is also unavailable, and the direct-federation pattern still depends on the external provider.",https://docs.aws.amazon.com/singlesignon/latest/userguide/emergency-access.html | https://docs.aws.amazon.com/wellarchitected/latest/security-pillar/sec_incident_response_pre_provision_access.html,,,,,,,,,,
AWS-08,logging,Organization trail with protected storage,"A multi-Region organization trail logs management events for every account to a bucket in a dedicated log account, with log file validation enabled, KMS encryption, and read access restricted to named roles.","Trail configuration, log bucket policy and encryption settings, log file validation status, and a sample validation run.","Organization trails cover enabled Regions only; opt-in Regions and other partitions need separate attention, and data events are a separate cost decision.",https://docs.aws.amazon.com/awscloudtrail/latest/userguide/creating-trail-organization.html | https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-log-file-validation-intro.html | https://docs.aws.amazon.com/prescriptive-guidance/latest/security-reference-architecture/log-archive.html,,,,,,,,,,
AWS-09,logging,Alarms for privileged activity,"CloudWatch metric filters and alarms on the organization trail cover root sign-in, console sign-in failures, IAM policy changes, security group changes, and changes to CloudTrail or GuardDuty, and each alarm delivers to an owned channel with a tested response.","Metric filter and alarm inventory, SNS topic subscriptions, and a dated delivery-and-response test.",Alarms depend on the trail delivering to CloudWatch Logs; confirm every SNS subscription is confirmed and reachable outside the account under review.,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudwatch-alarms-for-cloudtrail.html | https://docs.aws.amazon.com/IAM/latest/UserGuide/root-user-best-practices.html,,,,,,,,,,
AWS-10,detection,GuardDuty across accounts and Regions,"GuardDuty is enabled through a delegated administrator for every account with auto-enable for new accounts, in every enabled Region, and every finding of medium severity or above has a named owner and a response record.","Delegated administrator and auto-enable settings per Region, member coverage list, and the finding triage log.","GuardDuty is Regional and billed per data source; enable it in every Region, including unused ones, and agree which protection plans are in scope.",https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_organizations.html | https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_regions.html,,,,,,,,,,
