control_id,category,title,assertion,evidence_to_collect,review_gate,source_urls,scope,applicable,implementation,observed_value,observed_at_utc,reviewer,private_evidence_ref,gap_owner,next_action,due_date
GH-01,identity,Accountable organization owners,"The organization has at least two individually accountable owners and no more than the approved number, each named in a private roster with a deputy, and no shared or service account holds the owner role.","Owner roster from the People page compared with the approved list, plus the dated succession record naming each owner's deputy.","Custom organization roles are documented for Enterprise Cloud only; on Team, delegate through repository and team roles rather than adding owners.",https://docs.github.com/en/organizations/managing-peoples-access-to-your-organization-with-roles/roles-in-an-organization | https://docs.github.com/en/organizations/managing-peoples-access-to-your-organization-with-roles/maintaining-ownership-continuity-for-your-organization,,,,,,,,,,
GH-02,identity,Restrictive member privileges,"Member base permission is No permission or Read, members cannot create public repositories, only owners can change repository visibility, and repository access is granted through teams.","Member privileges settings page, the base-permission value, and a synthetic member test that cannot open an unrelated private repository or change visibility.","Base permissions do not apply to outside collaborators; private-only creation is documented for Enterprise Cloud, and creation limits do not change the visibility of existing repositories.",https://docs.github.com/en/organizations/managing-user-access-to-your-organizations-repositories/managing-repository-roles/setting-base-permissions-for-an-organization | https://docs.github.com/en/organizations/managing-organization-settings/restricting-repository-creation-in-your-organization | https://docs.github.com/en/organizations/managing-organization-settings/restricting-repository-visibility-changes-in-your-organization,,,,,,,,,,
GH-03,identity,Outside collaborator governance,"Every outside collaborator has a named sponsor, business purpose, minimum repository set, and end date; a dated review has removed ended engagements; and adding collaborators is limited to owners where the plan allows.","Outside collaborator list per repository, the sponsor register, and a removal test showing access ended.",Owner-only invitation of outside collaborators is documented for Enterprise Cloud; removal deletes private forks but not local clones and does not reduce the paid seat count automatically.,https://docs.github.com/en/organizations/managing-organization-settings/setting-permissions-for-adding-outside-collaborators | https://docs.github.com/en/organizations/managing-user-access-to-your-organizations-repositories/managing-outside-collaborators/removing-an-outside-collaborator-from-an-organization-repository,,,,,,,,,,
GH-04,authentication,Organization-wide two-factor requirement,"The organization requires two-factor authentication for all members, outside collaborators, and billing managers, restricts methods to secure ones where approved, and the enforcement did not remove an unreviewed account.","Authentication security settings, the member export showing 2FA status for every account, and the pre-enforcement notice record.","Enabling the requirement removes outside collaborators without 2FA and blocks members until they enroll; every owner must enroll first, and a sole owner cannot disable personal 2FA while the requirement stands.",https://docs.github.com/en/organizations/keeping-your-organization-secure/managing-two-factor-authentication-for-your-organization/requiring-two-factor-authentication-in-your-organization | https://docs.github.com/en/organizations/managing-membership-in-your-organization/exporting-member-information-for-your-organization,,,,,,,,,,
GH-05,authentication,Enforced SAML SSO with SCIM,"On a plan that supports it, SAML single sign-on is enforced for the organization and SCIM deprovisions members when their identity provider account is disabled, proven with a synthetic leaver.","SAML settings showing enforcement, SCIM connector status, and a synthetic deprovisioning test with timestamps.","SAML SSO and SCIM are documented for Enterprise Cloud only; enforcement removes members who have not authenticated through the identity provider, so test with enforcement off first.",https://docs.github.com/en/enterprise-cloud@latest/organizations/managing-saml-single-sign-on-for-your-organization/enforcing-saml-single-sign-on-for-your-organization | https://docs.github.com/en/enterprise-cloud@latest/organizations/managing-saml-single-sign-on-for-your-organization/about-scim-for-organizations,,,,,,,,,,
GH-06,authentication,Personal access token policy,"Fine-grained personal access tokens require owner approval and a maximum lifetime at or below the approved limit, personal access tokens (classic) are restricted from organization resources, and active tokens are reviewed and revoked on a schedule.","Personal access token policy page, the active fine-grained token list with approval dates, and the dated review record.","Only fine-grained tokens are listed for review; classic tokens cannot be enumerated in the organization UI, and changing the policy does not revoke tokens already issued, so inventory automations before restricting.",https://docs.github.com/en/organizations/managing-programmatic-access-to-your-organization/setting-a-personal-access-token-policy-for-your-organization | https://docs.github.com/en/organizations/managing-programmatic-access-to-your-organization/reviewing-and-revoking-personal-access-tokens-in-your-organization,,,,,,,,,,
GH-07,authentication,SSH certificate authority for Git access,"On a plan that supports it, Git access over SSH uses short-lived certificates issued by a registered organization SSH certificate authority, and unsigned SSH keys are rejected for organization repositories.","Authentication security settings showing the CA and the Require SSH Certificates option, a certificate lifetime sample, and a rejected unsigned-key test.","SSH certificate authorities are documented for Enterprise Cloud only; requiring certificates also blocks HTTPS authentication to organization repositories, issued certificates cannot be revoked, and deleting a CA invalidates unexpired certificates.",https://docs.github.com/en/enterprise-cloud@latest/organizations/managing-git-access-to-your-organizations-repositories/about-ssh-certificate-authorities | https://docs.github.com/en/enterprise-cloud@latest/organizations/managing-git-access-to-your-organizations-repositories/managing-your-organizations-ssh-certificate-authorities,,,,,,,,,,
GH-08,repositories,Reviewed changes on protected branches,"Every production or internal-tooling repository has an active ruleset on its default branch that requires a pull request with at least one approving review, dismisses stale approvals, requires status checks, and lists only reviewed bypass actors.","Ruleset export or screenshots per targeted repository, the bypass actor list, and a denied direct-push test by a synthetic writer.","Rulesets are documented for Team and Enterprise plans; the overview describes organization-level targeting for Enterprise, so verify on the actual plan whether one ruleset can target many repositories or each repository needs its own.",https://docs.github.com/en/organizations/managing-organization-settings/creating-rulesets-for-repositories-in-your-organization | https://docs.github.com/en/repositories/configuring-branches-and-merges-in-your-repository/managing-rulesets/available-rules-for-rulesets | https://docs.github.com/en/repositories/configuring-branches-and-merges-in-your-repository/managing-rulesets/about-rulesets,,,,,,,,,,
GH-09,repositories,Blocked destructive and unsigned pushes,"Protected branches block force pushes and deletions, require signed commits where the approved signing model covers people, automations, and agents, and bypass activity is reviewed through rule insights or the audit log.","Ruleset rules for block force pushes, restrict deletions, and require signed commits, plus the signing key inventory and a rejected unsigned or force-push test.","Commits made through the web interface are signed by GitHub, but automations and agents pushing from a runner need their own verified signing route before the rule is enforced.",https://docs.github.com/en/repositories/configuring-branches-and-merges-in-your-repository/managing-rulesets/available-rules-for-rulesets | https://docs.github.com/en/authentication/managing-commit-signature-verification/about-commit-signature-verification | https://docs.github.com/en/organizations/managing-organization-settings/managing-rulesets-for-repositories-in-your-organization,,,,,,,,,,
GH-10,code_security,Secret scanning with push protection,"Secret scanning and push protection are enabled through a security configuration on every in-scope repository, new repositories inherit it, bypass privileges are limited to named actors, and open alerts have an owner.","Security configuration showing enablement status per repository, the push protection bypass list, and a synthetic blocked-push test with a test pattern.","Public repositories are scanned at no charge; private and internal repositories need GitHub Secret Protection on Team or Enterprise Cloud, and by default anyone with write access can bypass push protection with a stated reason.",https://docs.github.com/en/code-security/secret-scanning/introduction/about-secret-scanning | https://docs.github.com/en/code-security/secret-scanning/introduction/about-push-protection | https://docs.github.com/en/code-security/securing-your-organization/introduction-to-securing-your-organization-at-scale/about-enabling-security-features-at-scale,,,,,,,,,,
GH-11,code_security,Dependabot alerts and security updates,"Dependency graph, Dependabot alerts, and Dependabot security updates are enabled for every in-scope repository, each alert has an accountable owner, and alerts older than the approved triage window are explained.","Organization enablement status for all eligible repositories, the open alert list with owners, and a sample security update pull request.","Alerts and security updates depend on the dependency graph; grouped updates and private registry access have their own prerequisites, and features labelled premium depend on GitHub Code Security.",https://docs.github.com/en/code-security/dependabot/dependabot-alerts/about-dependabot-alerts | https://docs.github.com/en/code-security/dependabot/dependabot-alerts/configuring-dependabot-alerts | https://docs.github.com/en/code-security/dependabot/dependabot-security-updates/configuring-dependabot-security-updates,,,,,,,,,,
GH-12,code_security,Code scanning on in-scope repositories,"Code scanning default setup runs on every repository that ships to production or handles firm data, results are triaged by a named owner, and merges to protected branches require passing code scanning results where the plan allows.","Code scanning enablement per repository, recent analysis runs, and the ruleset rule requiring code scanning results.","Code scanning on private repositories requires a GitHub Code Security license; default setup consumes Actions minutes and supports a fixed language list, so agree scope before enabling at scale.",https://docs.github.com/en/code-security/code-scanning/introduction-to-code-scanning/about-code-scanning | https://docs.github.com/en/code-security/code-scanning/enabling-code-scanning/configuring-default-setup-for-code-scanning | https://docs.github.com/en/repositories/configuring-branches-and-merges-in-your-repository/managing-rulesets/available-rules-for-rulesets,,,,,,,,,,
GH-13,actions,Organization Actions policy,"Organization Actions settings allow only GitHub-owned, verified-creator, or explicitly listed actions and reusable workflows pinned to full commit SHAs, require approval for fork pull request workflows from all external contributors, default the GITHUB_TOKEN to read-only, and prevent Actions from creating or approving pull requests.","Organization Actions general settings page, the allow list, and a sample workflow run showing read-only token permissions.","Repository settings can be stricter but the organization policy sets the ceiling; pull_request_target workflows are not gated by fork approval, and pinning by tag is mutable.",https://docs.github.com/en/organizations/managing-organization-settings/disabling-or-limiting-github-actions-for-your-organization | https://docs.github.com/en/actions/security-for-github-actions/security-guides/security-hardening-for-github-actions,,,,,,,,,,
GH-14,actions,Protected deployment environments and secrets,"Production deployments run through environments with required reviewers who cannot self-approve, deployment branch or tag restrictions, and environment-scoped secrets, and organization secrets are limited to selected repositories.","Environment protection rules per production environment, the organization secret access policy, and a deployment run showing the approval step.","Environments on private repositories are documented for Team and Pro and above; converting a repository to private disables configured protection until the plan supports it, and secrets are not passed to workflows triggered from forks.",https://docs.github.com/en/actions/managing-workflow-runs-and-deployments/managing-deployments/managing-environments-for-deployment | https://docs.github.com/en/actions/security-for-github-actions/security-guides/using-secrets-in-github-actions,,,,,,,,,,
GH-15,actions,Federated cloud credentials through OIDC,"Workflows that deploy to or read from cloud providers authenticate with OpenID Connect tokens whose trust conditions are limited to the repository, environment, and branch, and no long-lived cloud credential is stored as an Actions secret.","Cloud provider trust policy showing the subject claim conditions, the workflow permissions block requesting id-token, and the secret inventory with no cloud keys.","The cloud side must validate the subject claim; a trust policy that accepts any repository in the organization defeats the purpose, and legacy credentials must be revoked after migration.",https://docs.github.com/en/actions/security-for-github-actions/security-hardening-your-deployments/about-security-hardening-with-openid-connect | https://docs.github.com/en/actions/security-for-github-actions/security-guides/security-hardening-for-github-actions,,,,,,,,,,
GH-16,actions,Self-hosted runner isolation,"Every self-hosted runner is ephemeral or rebuilt between jobs, belongs to a runner group limited to named private repositories, never serves public repositories or fork pull requests, and has a documented owner and patch route.","Runner group membership and repository access settings, the runner registration mode, and the runner host ownership record.","GitHub-hosted runners provide a new virtual machine per job and a persistent self-hosted runner does not, so treat it as production infrastructure with network limits; additional runner groups are documented for Team and above.",https://docs.github.com/en/actions/security-for-github-actions/security-guides/security-hardening-for-github-actions | https://docs.github.com/en/actions/hosting-your-own-runners/managing-self-hosted-runners/managing-access-to-self-hosted-runners-using-groups | https://docs.github.com/en/actions/using-github-hosted-runners/using-github-hosted-runners/about-github-hosted-runners,,,,,,,,,,
GH-17,integrations,GitHub App and OAuth app governance,"OAuth app access restrictions are enabled, every approved OAuth app and installed GitHub App has an owner, purpose, minimum permission set, and repository scope, and unreviewed apps are suspended or removed.","Third-party access settings, the installed GitHub Apps list with permissions and repository access, and the dated review record.",Enabling OAuth restrictions revokes existing OAuth authorizations and SSH keys for the organization; GitHub Apps are reviewed separately and are preferred for automations because of fine-grained permissions and short-lived tokens.,https://docs.github.com/en/organizations/managing-oauth-access-to-your-organizations-data/about-oauth-app-access-restrictions | https://docs.github.com/en/organizations/managing-oauth-access-to-your-organizations-data/enabling-oauth-app-access-restrictions-for-your-organization | https://docs.github.com/en/organizations/managing-programmatic-access-to-your-organization/reviewing-github-apps-installed-in-your-organization | https://docs.github.com/en/apps/oauth-apps/building-oauth-apps/differences-between-github-apps-and-oauth-apps,,,,,,,,,,
GH-18,ai,Copilot and AI feature policies,"Organization Copilot policies record an explicit enforcement choice for every feature including cloud agent, third-party agents, MCP servers, and preview features; agent use is limited to selected repositories; content exclusions cover confidential paths; and seat assignments are reviewed.","Copilot policies page, the cloud agent repository selection, content exclusion settings, and the seat and usage review record.","Policies require Copilot Business or Copilot Enterprise; enterprise settings override organization settings, agent mode in IDE chat does not honor content exclusion, and the cloud agent works in an Actions environment so Actions controls still apply.",https://docs.github.com/en/copilot/how-tos/administer-copilot/manage-for-organization/manage-policies | https://docs.github.com/en/copilot/how-tos/administer-copilot/manage-for-organization/add-copilot-cloud-agent | https://docs.github.com/en/copilot/concepts/agents/coding-agent/about-coding-agent | https://docs.github.com/en/copilot/how-tos/configure-content-exclusion/exclude-content-from-copilot | https://docs.github.com/en/copilot/how-tos/administer-copilot/manage-for-organization/manage-access,,,,,,,,,,
