risk_id,scenario,threat_source,affected_assets,related_controls,inherent_likelihood,inherent_impact,inherent_rating,residual_likelihood,residual_impact,residual_rating,status,owner_role,treatment,target_date,verification_evidence,acceptance_authority,review_date
GWS-RISK-01,"A super administrator's password and one-time code are phished; no security key or passkey is enforced, and the same account is used for daily mail",External attacker using credential phishing,"Admin console, every user's mail and files, domain and DNS settings, audit logs",GWS-01;GWS-02;GWS-03;GWS-15,3,3,3 x 3 = 9 Critical,1,3,1 x 3 = 3 Moderate,Proposed,Identity service owner,"Move privileged work to dedicated admin accounts, enforce security-key or passkey 2SV for administrators after a tested recovery route, and route admin sign-in alerts to a reachable owner",Unassigned,Pending,Unassigned,Unassigned
GWS-RISK-02,The only super administrator loses their security key or leaves the firm; nobody else can recover the tenant,Single point of failure in administration,"Admin console access, tenant recovery, every downstream change",GWS-03;GWS-01;GWS-18,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Identity service owner,Maintain at least two separately accountable super administrators with securely stored spare credentials and a dated recovery exercise,Unassigned,Pending,Unassigned,Unassigned
GWS-RISK-03,A diligence folder shared with outside counsel and a target company stays accessible after the deal closes or is abandoned,Former external collaborator or their compromised account,"Deal room Drive content, shared drives, investment memos",GWS-05;GWS-06;GWS-19,3,2,3 x 2 = 6 High,1,2,1 x 2 = 2 Low,Proposed,Deal operations owner,"Give every external collaboration an owner and review date, run dated permission reviews, and prove removal at the resource rather than only disabling sharing",Unassigned,Pending,Unassigned,Unassigned
GWS-RISK-04,A user installs an AI note-taker or productivity app that requests full Drive and Gmail scope; the vendor is later breached or resells the data,Third-party application or its compromise,"Drive, Gmail, and Calendar content for every consenting user",GWS-07;GWS-08;GWS-24,3,3,3 x 3 = 9 Critical,1,3,1 x 3 = 3 Moderate,Proposed,Integrations owner,"Restrict high-risk OAuth scopes, require an owner and purpose for each app, investigate unknown high-access apps, and test that revoking an app ends its access",Unassigned,Pending,Unassigned,Unassigned
GWS-RISK-05,Attackers spoof the firm's domain to send a fake capital-call or wire-change notice to investors or a portfolio company while DMARC is monitoring-only,External fraudster,"Firm sending domain, investor trust, counterparties' funds",GWS-11;GWS-12;GWS-13,3,3,3 x 3 = 9 Critical,1,3,1 x 3 = 3 Moderate,Proposed,Email service owner,"Complete the sender inventory, publish validated SPF and DKIM for every sender class, and move DMARC to an approved enforcement policy after report review",Unassigned,Pending,Unassigned,Unassigned
GWS-RISK-06,"A leaver is suspended but a mail delegate, an OAuth token, a shared-drive manager role, or an AppSheet app they built keeps working",Former staff member or an orphaned automation,"Mailboxes, shared drives, business automations",GWS-20;GWS-07;GWS-19;GWS-06,2,3,2 x 3 = 6 High,1,2,1 x 2 = 2 Low,Proposed,Offboarding process owner,"Run the tested leaver checklist covering identity, delegated access, third-party apps, ownership transfer, and retention before any deletion",Unassigned,Pending,Unassigned,Unassigned
GWS-RISK-07,"A laptop with an active Workspace session and synced files is lost, or an unmanaged browser profile carries a malicious extension that reads Workspace pages","Device theft, loss, or malicious browser extension","Cached mail and files, active sessions, saved credentials",GWS-09;GWS-10;GWS-23,2,3,2 x 3 = 6 High,1,2,1 x 2 = 2 Low,Proposed,Endpoint owner,"Enforce the platform device standard, apply context-aware access where licensed, manage Chrome policies and extensions, and rehearse the lost-device response",Unassigned,Pending,Unassigned,Unassigned
GWS-RISK-08,Investor personal data or bank details are pasted into a Chat space or shared externally from Drive without anyone noticing,Insider error,"Investor personal data, finance records, regulatory standing",GWS-22;GWS-05;GWS-06,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Data protection owner,"Where the edition supports DLP, run audit-only rules for the approved categories, review the rule log, then enable warn or block; otherwise record the gap and the manual alternative",Unassigned,Pending,Unassigned,Unassigned
GWS-RISK-09,"An investigation stalls because the relevant audit events aged out of the native window or were never exported, and the alert that should have fired had no owner",Detection and response gap,"Audit logs, email logs, incident timeline",GWS-14;GWS-15,2,2,2 x 2 = 4 Moderate,1,2,1 x 2 = 2 Low,Proposed,Security monitoring owner,"Document each log source's window and lag, export before expiry where the approved need is longer, and test alert delivery and response",Unassigned,Pending,Unassigned,Unassigned
GWS-RISK-10,Critical shared-drive content is deleted or overwritten through a synced client and noticed only after the administrator restore window has passed,Insider error or malware acting through a synced endpoint,"Shared drives, finance and fund records",GWS-17;GWS-16;GWS-19,2,3,2 x 3 = 6 High,1,2,1 x 2 = 2 Low,Proposed,Recovery owner,"Agree recovery objectives per workload, select tooling that meets them, and measure a restore including permissions on a schedule",Unassigned,Pending,Unassigned,Unassigned
GWS-RISK-11,Records needed for a regulatory or legal request were purged because Vault did not cover the data type or a license was removed during offboarding,Compliance and records failure,"Gmail, Drive, Chat, and Gemini app records under a retention obligation",GWS-16;GWS-20;GWS-21,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Records owner,"Approve the retention schedule, verify effective Vault rules and holds by data type and population, and keep licenses in place until preservation is confirmed",Unassigned,Pending,Unassigned,Unassigned
GWS-RISK-12,Gemini is enabled for everyone before the firm decides which Workspace data it may read; confidential deal terms enter AI conversations that nobody retains or reviews,Ungoverned generative AI adoption,"Deal and investor data, AI conversation history",GWS-21;GWS-07;GWS-16,2,2,2 x 2 = 4 Moderate,1,2,1 x 2 = 2 Low,Proposed,Information governance owner,"Record the Gemini access and Workspace-data decisions by population, set conversation history and Vault coverage deliberately, and treat external AI tools as OAuth app decisions",Unassigned,Pending,Unassigned,Unassigned
