control_id,category,title,assertion,evidence_to_collect,review_gate,source_urls,scope,applicable,implementation,observed_value,observed_at_utc,reviewer,private_evidence_ref,gap_owner,next_action,due_date
GWS-01,identity,Dedicated least-privilege administrators,Privileged work uses identifiable dedicated admin accounts; routine work and delegated tasks avoid super-admin privilege.,Role roster and task-to-role review covering all administrators.,Record the owner of each privileged role; test delegation before removing access.,https://knowledge.workspace.google.com/admin/users/security-best-practices-for-administrator-accounts,,,,,,,,,,
GWS-02,identity,Phishing-resistant admin sign-in,Administrators use enforced security-key/passkey-capable sign-in with tested spare credentials.,Effective 2SV method policy and successful administrator sign-in tests.,Complete enrollment and recovery testing before stricter method enforcement.,https://knowledge.workspace.google.com/admin/users/security-best-practices-for-administrator-accounts | https://knowledge.workspace.google.com/admin/security/deploy-2-step-verification,,,,,,,,,,
GWS-03,recovery,Independent administrator recovery,At least two separately accountable super administrators have tested recovery routes and securely stored spare credentials.,"Private recovery exercise record, custodians, and dependencies.",Do not copy shared emergency-account assumptions from another identity provider.,https://knowledge.workspace.google.com/admin/users/security-best-practices-for-administrator-accounts,,,,,,,,,,
GWS-04,identity,Workforce 2SV enforcement,"Every in-scope workforce account is covered by the approved 2SV policy, with enrollment verified and temporary exceptions recorded.",Effective OU/group policies plus enrollment and real sign-in evidence.,Group precedence and report lag can hide gaps; agree onboarding grace and recovery method.,https://knowledge.workspace.google.com/admin/security/deploy-2-step-verification,,,,,,,,,,
GWS-05,sharing,Controlled external collaboration,Confidential firm/deal content is shared only through approved authenticated collaboration scopes; broad external links are restricted.,OU/group settings and allowed/denied sharing tests using synthetic files.,"Map investor, portfolio, counsel, and administrator collaboration before tightening access.",https://knowledge.workspace.google.com/admin/drive/manage-external-sharing-for-your-organization,,,,,,,,,,
GWS-06,sharing,Guest and external permission review,An owner reviews external people and item permissions; access is removed when the collaboration ends.,Dated permission review and a removal test for shared-drive and individually shared content.,Blocking sharing can leave permissions in place; re-enabling can restore access.,https://support.google.com/a/users/answer/12380484?hl=en,,,,,,,,,,
GWS-07,integrations,App access review,"OAuth apps have an approved owner, purpose, data scope, and access decision; unknown high-access apps are investigated.",API controls inventory and review of OAuth scopes and effective access decisions.,A trusted publisher or app label does not establish a business need.,https://knowledge.workspace.google.com/admin/apps/control-which-apps-access-google-workspace-data,,,,,,,,,,
GWS-08,integrations,Narrow domain-wide delegation,"Every domain-wide delegation grant has an essential business case, narrow scopes, controlled credentials, and a review date.","Grant inventory, scope review, service-account ownership and key-management record.",Do not grant domain-wide delegation merely to collect this assessment.,https://knowledge.workspace.google.com/admin/apps/domain-wide-delegation-best-practices,,,,,,,,,,
GWS-09,devices,Managed endpoint requirements,"Device owners have an approved platform-specific enrollment, encryption, screen-lock, supported-OS, and lost-device response standard with evidence of coverage.","Device inventory, management capability map, exception list, and synthetic lost-device tabletop.",Basic and advanced management differ; identify a separate endpoint tool where needed.,https://knowledge.workspace.google.com/admin/devices/overview-manage-devices-with-google-endpoint-management,,,,,,,,,,
GWS-10,devices,Context-aware access coverage,Licensed in-scope users accessing selected sensitive apps are covered by tested context-aware access requirements.,"License-by-user coverage, access-level assignments, browser/platform and denied-access tests.",Unsupported editions do not enforce these policies; service-account/API and app coverage require separate review.,https://knowledge.workspace.google.com/admin/security/protect-your-business-with-context-aware-access,,,,,,,,,,
