check_id,phase,check,owner_role,approval_required,expected_evidence,depends_on,proposed_target,result_state,actual_result,evidence_ref,performed_by,performed_at_utc,verifier_role,verification_state,verification_result,verified_by,verified_at_utc,exception_id,notes,fictional
OFF-01,Intake,"Authenticate the event, identity, exact cutoff/time zone and permitted communication audience",Proposed People owner or authorized sponsor,Authorized departure/expiry notice or applicable incident authority,Verified notice and identity; current cutoff and authority reference,,Before planned action or under incident authority,not_started,,,,,Proposed IT coordinator,not_run,,,,,An urgent pre-authorized containment action does not wait for routine paperwork; contractor expiry is not silently extended.,true
OFF-02,Discovery,"Reconcile known identities, applications, tokens, assets, physical access and requester authority",Proposed IT coordinator and system owners,Approved discovery scope,"Population from independent inventories; known targets, missing coverage and assigned discovery gaps",OFF-01,Before cutoff where feasible; continue gaps in parallel,not_started,,,,,Proposed Access reviewer,not_run,,,,,Use available scope immediately; incomplete discovery must not delay authorized removal of known access.,true
OFF-03,Preservation plan,"Obtain records, disclosure, destination, hold and future-disposition direction",Proposed Records owner,Applicable records/privacy authority and recipient approval,Record classes and method; approved recipient/destination; hold and verification requirements,OFF-01,"Before dependent transfers, wipe or account/license disposition",not_started,,,,,Proposed Records reviewer,not_run,,,,,"Do not invent a retention period; unresolved direction holds destructive steps, not access containment.",true
OFF-04,Continuity plan,Map privileged and business dependencies and assign authorized replacements or contingency,Proposed Service owners and IT coordinator,Receiving-owner authority and approved continuity scope,Replacement/custody plan; dependency list; tested capability where feasible or owned gap,OFF-01;OFF-02,Before cutoff where feasible,not_started,,,,,Proposed Readiness reviewer,not_run,,,,,"Conditional privileged workstream; no signature, absent replacement or unfinished handover extends leaver access.",true
OFF-05,Cutoff,Block or suspend each relevant identity at the authorized cutoff,Proposed Identity operator,Verified cutoff and identity-specific authority,"Saved account state, action time, operator and authoritative-system observation",OFF-01,At authorized cutoff,not_started,,,,,Proposed Independent access reviewer,not_run,,,,,Use known targets while discovery continues; do not wait for OFF-03 or OFF-04. An OU name is not an account-state control.,true
OFF-06,Cutoff,Revoke applicable sessions and tokens and inspect application-owned session exposure,Proposed Identity and application operators,Authorized session-removal scope,"Per-service revocation result, remaining exposure and applicable session limitations",OFF-01,At cutoff alongside identity blocking,not_started,,,,,Proposed Independent access reviewer,not_run,,,,,Directory blocking alone does not prove all sessions ended; do not wait for transfer or handover.,true
OFF-07,Cutoff,"Remove direct application, group, remote-support and vendor requester access",Proposed Application owners and scoped providers,Authorized service-specific removal scope,"Per-target saved state or provider result, actual time and unresolved access",OFF-01,At cutoff with target-specific sequencing,not_started,,,,,Proposed Independent access reviewer,not_run,,,,,Expand by service; one failed removal does not delay authorized removal elsewhere. Verify ambiguous outcomes before retrying.,true
OFF-08,Cutoff,"Revoke delegated access, personal tokens and physical/authentication access through responsible owners",Proposed System and facilities owners,Applicable delegation/token/physical-access authority,"Per-permission or asset result; actual scope, time and remaining exposure",OFF-01,At cutoff with relevant owners,not_started,,,,,Proposed Access reviewer,not_run,,,,,"Do not assume cloud suspension removes local device access, a badge, a personal token or a third-party session.",true
OFF-09,Records,Execute the approved preservation or transfer and capture actual job outcomes,Proposed Records/service operator,"Approved method, source, destination and disclosure scope","Population, actual job results, destination, errors and protected evidence",OFF-03,"Before dependent deletion, wipe or license change",not_started,,,,,Proposed Records reviewer,not_run,,,,,Keep the source controlled; a submitted job or summary success without population evidence is insufficient.,true
OFF-10,Records,"Verify retrieval, permissions and preservation coverage with the approved recipient",Proposed Records reviewer and recipient,Approved safe retrieval and recipient scope,"Representative retrieval results; population reconciliation, missing items and destination permissions",OFF-09,Before dependent disposition,not_started,,,,,Proposed Independent records reviewer,not_run,,,,,Sampled retrieval is bounded evidence; reconcile the expected population and investigate missing records.,true
OFF-11,Business transfer,"Transfer approved business ownership, calendars, queues and provider contacts; test the receiving task",Proposed Service owners and receiving operators,Scoped business ownership/delegation and disclosure approval,Supported reassignment plus actual receiving-workflow result or contingency,OFF-01;OFF-03,Before business dependency fails; retain owned gaps,not_started,,,,,Proposed Readiness reviewer,not_run,,,,,Do not log in as the former person; follow each service method and preserve access cutoff regardless of transfer progress.,true
OFF-12,Privileged access,Replace or revoke exposed shared secrets and recovery/custody authority using the dependency plan,Proposed Privileged operators and service owners,Credential/recovery change authority and continuity safeguards,"Affected consumers, scoped changes, replacement verification and residual gaps",OFF-01,At risk-appropriate cutoff/change time,not_started,,,,,Proposed Independent privileged-access reviewer,not_run,,,,,Conditional; do not blindly rotate unrelated secrets. Use approved contingency where a dependent service cannot change safely.,true
OFF-13,Assets,"Reconcile assigned assets, actual receipt, identifiers and custody uncertainty",Proposed Asset coordinator,Approved recovery and handling scope,"Asset-by-asset received, in-transit, missing or held state and custody evidence",OFF-01;OFF-02,At agreed recovery checkpoints,not_started,,,,,Proposed Asset reviewer,not_run,,,,,Shipping status alone is not receipt; a queued wipe is neither asset recovery nor verified cleanup.,true
OFF-14,Disposition,"Authorize and verify device wipe, reassignment or disposal only after local-data and hold checks",Proposed Device operator and asset owner,Explicit destructive-action approval and preservation prerequisites,Local-data/hold decision; authorized method; actual execution and verification or pending result,OFF-03;OFF-10;OFF-13,Only when action-specific prerequisites are satisfied,not_started,,,,,Proposed Device/records reviewer,not_run,,,,,Do not assume authority to wipe a whole personal device. A missing asset may have authorized remote cleanup; keep custody uncertainty visible.,true
OFF-15,Disposition,"Decide account deletion, mailbox state, license and subscription disposition separately","Proposed Service, records and purchasing owners","Action-specific records, technical and financial approval",Approved disposition for each object; feature/hold/anchor dependencies; actual result or retained purpose/owner,OFF-03;OFF-10,After all applicable preservation and technical checks,not_started,,,,,Proposed Service/records reviewer,not_run,,,,,This is not an automatic delete step. Retain required account anchors and licensed features; verify downstream consequences first.,true
OFF-16,Verification,Independently assess known access population and unresolved session/offline exposure,Proposed Access reviewer,Approved administrative evidence and safe verification scope,"Per-target observations and times; coverage limits; failed, pending and unverified scope",OFF-01,At cutoff and after retries/material changes,not_started,,,,,Proposed Independent access reviewer,not_run,,,,,Review even when execution fails; do not use the former person password or impersonate them. Reference OFF-05 through OFF-08 and OFF-12.,true
OFF-17,Exceptions and changes,"Review failures, cancellation, late extension and temporary exceptions without hiding exposure",Proposed IT coordinator and authorized decision-maker,Explicit change or risk decision within scope,"Current exception/change reference; safeguard, owner, explicit expiry, earlier review triggers and retest",OFF-01,On change or failure and at review trigger,not_started,,,,,Proposed Risk/change reviewer,not_run,,,,,Not applicable requires a reason. Cancellation does not automatically restore prior access; late extension does not excuse missed expiry.,true
OFF-18,Closure,"Reconcile access, records/ownership, assets and account/license disposition as separate summaries",Proposed IT coordinator,Scoped closure and residual-risk authority,"Reviewer results; owner acknowledgments; linked remaining work, decisions and review times",OFF-02;OFF-10;OFF-11;OFF-13;OFF-14;OFF-15;OFF-16;OFF-17,When claimed scope is supported or explicitly limited,not_started,,,,,Proposed Technical reviewer and receiving owners,not_run,,,,,Unresolved work means incomplete with owned exceptions. Link any separately managed case; handover receipt does not establish readiness.,true
