control_id,title,domain,business_outcome,business_scenario,proposed_intended_state,accountable_role,operator_role,implementation_test,implementation_evidence,operating_effectiveness_test,operating_evidence,coverage_function,secondary_functions,suggested_cadence_or_trigger,failure_action,environment_decisions,primary_reference_url,related_resource,source_reviewed_on
VCIT-001,Decisions have an accountable owner,Governance,Security decisions can be made during ordinary work and an incident.,The MSP can administer a service but no firm employee can accept its residual risk.,Each critical service has a business owner; technical operator; risk approver; alternate; and escalation route.,COO or designated executive sponsor,IT service owner,Inspect the responsibility record and delegated authority for critical services.,Approved ownership matrix and service scope.,Tabletop an urgent access exception with the usual approver unavailable; trace who recommends; approves; acts; and verifies.,Dated decision exercise with unresolved authority gaps.,GOVERN,RESPOND,Suggested quarterly ownership review; immediately after an operator or executive transition.,Assign an interim accountable owner and restrict decisions that lack authority until resolved.,Define legal entities; fund versus management-company scope; outsourced duties; and decision limits.,https://www.nist.gov/publications/nist-cybersecurity-framework-csf-20,../../documentation/cyber-risk/risk-assessment-and-treatment.md,2026-09-17
VCIT-002,Critical services and dependencies are known,Asset and service inventory,A deal or finance process can be traced to the systems and people that support it.,A partner cannot access the data room because an undocumented identity or DNS dependency failed.,The inventory links critical business workflows to services; devices; identity; domains; data; operators; and external dependencies.,IT service owner,IT operations,Reconcile the inventory against approved device; SaaS; domain; and service records.,Versioned inventory with owners and explicit coverage limits.,Walk a representative workflow and identify one dependency discovered outside the inventory; resolve or document the difference.,Workflow trace and reconciliation decisions.,IDENTIFY,RECOVER,Suggested monthly reconciliation; on a new fund process; new platform; or office change.,Add the missing dependency; name an owner; and reassess its access; monitoring; and recovery requirements.,Define which services are critical and what constitutes a complete inventory.,https://www.cisecurity.org/controls/inventory-and-control-of-enterprise-assets,../../library/templates/service-catalog.csv,2026-09-17
VCIT-003,Cyber risks describe a business consequence,Risk assessment,Investment and operations leaders can prioritize an evidenced loss scenario.,A configuration score improves while an untested recovery path still threatens a closing deadline.,Material risks state a scenario; consequence; uncertainty; current controls; treatment owner; and verification condition.,Executive risk owner,Security or IT lead,Inspect the risk register for scope; evidence references; treatment decisions; and review dates.,Current risk register and approved prioritization method.,Trace one open treatment from observation to decision and retest; confirm a planned fix was not recorded as reduced residual risk.,Treatment trace and reviewer conclusion.,IDENTIFY,GOVERN,Suggested quarterly review; after incidents; acquisitions; major integrations; or significant control failure.,Restore the unresolved risk to decision visibility; obtain missing evidence; and assign the next action.,Agree impact language; decision authority; uncertainty handling; and business priorities.,https://www.nist.gov/publications/nist-cybersecurity-framework-csf-20,../../documentation/cyber-risk/risk-assessment-and-treatment.md,2026-09-17
VCIT-004,Exceptions expire and stay visible,Exceptions,A temporary workaround does not silently become the operating standard.,An excluded administrator remains outside the access policy after the original compatibility issue is fixed.,Each exception identifies scope; reason; residual exposure; accountable approver; compensating protection; expiry; and retest.,Business risk owner,Control owner,Inspect active and expired exception records against actual excluded populations.,Exception register and effective exclusion inventory.,Select an expired exception and trace renewal or removal; verify the compensating protection independently of the approval.,Expiry follow-through and compensating-control test.,GOVERN,PROTECT,Suggested monthly expiry review; on scope changes or failed compensating controls.,Escalate unapproved or expired exceptions; contain the exposed scope where authorized; retain the underlying gap.,Agree approval levels and acceptable exception durations based on the scenario.,https://www.nist.gov/publications/nist-cybersecurity-framework-csf-20,../../baselines/rollout-and-exceptions.md,2026-09-17
VCIT-005,Strong authentication covers the actual access paths,Identity,Stolen passwords alone do not grant the intended sensitive access.,An investment user has a passkey but an older client still authenticates through a weaker path.,The approved workforce and privileged access populations use enforced strong authentication; phishing-resistant methods are prioritized with tested recovery.,Identity service owner,Identity administrator,Inspect effective policies; methods; exclusions; enrollment; legacy paths; and licenses.,Scoped configuration record and population reconciliation.,Use synthetic accounts to test permitted sign-in; a disallowed weaker path; and recovery without bypassing normal authorization.,Timestamped allowed/denied and recovery results for selected clients.,PROTECT,DETECT,Suggested monthly coverage review; after identity; client; or method changes.,Close uncovered paths or record a time-bounded treatment with protective alternatives and business-owner visibility.,Define method requirements; supported clients; enrollment; emergency access; and exceptions.,https://www.cisa.gov/audiences/small-and-medium-businesses/secure-your-business/require-multifactor-authentication,../../baselines/README.md,2026-09-17
VCIT-006,Privilege follows the task,Identity,A routine mistake or compromised daily account has limited administrative reach.,The same everyday mailbox account can change firm-wide security controls.,Privileged work uses accountable identities and the minimum reviewed roles; routine work avoids privileged sessions.,Identity service owner,Identity administrator,Inspect privileged role assignments; separate admin identities; and activation or elevation rules where supported.,Role-to-task map; assignment export reference; and exception list.,Perform a selected admin task with its intended role; confirm the ordinary account cannot perform it; inspect the activity record.,Positive and negative task tests plus role-use evidence.,PROTECT,GOVERN,Suggested quarterly role recertification; on staff; provider; or responsibility changes.,Remove unjustified privilege through reviewed change; investigate unexplained role grants.,Define who approves and verifies roles; needed standing privileges; and emergency access.,https://www.cisecurity.org/controls/account-management,../../documentation/policies/identity-and-access.md,2026-09-17
VCIT-007,People changes reach every access owner,Identity lifecycle,Joiners; movers; leavers; and temporary staff receive the intended access only.,A departed contractor loses SSO but retains a direct login; API token; or shared data-room permission.,Authoritative people events trigger scoped grant; change; revocation; ownership transfer; and preservation tasks across connected and standalone services.,People operations owner with IT service owner,Service desk and application owners,Inspect event triggers; target-service coverage; task ownership; and completion evidence requirements.,Lifecycle workflow; access register; and service coverage map.,Trace a synthetic leaver and a role change through direct logins; sessions; tokens; groups; delegated rights; and retained records.,Per-service verification; timestamps; and unresolved targets.,PROTECT,IDENTIFY,At each lifecycle event; suggested quarterly coverage exercise.,Revoke missed access using approved procedures; investigate use after departure; repair the event-to-service gap.,Define event authority; timing by risk; records preservation; and exceptions for legal holds.,https://www.cisecurity.org/controls/access-control-management,../../documentation/policies/identity-and-access.md,2026-09-17
VCIT-008,Administrator recovery survives a primary-path failure,Identity recovery,The firm can regain administration without relying on the failed identity path.,The IdP or an administrator device is unavailable during an urgent service recovery.,Vendor-appropriate recovery identities; credentials; custodians; monitoring; and access paths are documented and tested.,Identity service owner,Authorized recovery custodians,Inspect the provider-specific recovery design without copying recovery secrets into the review.,Custody and dependency record; recovery configuration reference.,Run an approved exercise simulating loss of the usual sign-in route; verify access and monitoring from the alternate path.,Exercise outcome; alert receipt; and observed dependencies.,RECOVER,PROTECT|DETECT,Suggested quarterly exercise; after custodian; credential; licensing; or identity-policy changes.,Restore a working recovery route before widening restrictive access changes; escalate single-person dependencies.,Google and Microsoft emergency designs differ; choose the supported design for each provider.,https://www.nist.gov/publications/nist-cybersecurity-framework-csf-20,../../baselines/README.md,2026-09-17
VCIT-009,Automation identities have limits and an exit,Service identities,A workflow credential cannot outlive its purpose or operate beyond approved data and actions.,A retired integration retains broad mail or document permissions.,Each nonhuman identity has an owner; approved purpose; scoped permissions; credential protection; usage evidence; and revocation procedure.,Application service owner,Integration operator,Inspect the identity inventory; granted permissions; credential storage; and end-of-use trigger.,Permission and ownership review plus credential-management design.,Test a synthetic workflow action and a denied out-of-scope action; revoke its test credential and prove access ends.,Action; denial; and revocation results without secrets.,PROTECT,IDENTIFY,Suggested quarterly recertification; at integration change or retirement.,Disable unnecessary access through approved change; rotate exposed credentials; identify dependent jobs before removal.,Choose workload identity where supported; define scopes; expiry; and emergency maintenance ownership.,https://www.cisecurity.org/controls/account-management,../../baselines/README.md,2026-09-17
VCIT-010,Endpoint policy reaches the working device,Devices,A lost or unhealthy device does not expose intended confidential work.,The management console shows a policy but a traveling laptop never received it.,Supported platforms have a reviewed baseline for enrollment; encryption; lock; updates; local privilege; and lost-device response with observable coverage.,Endpoint service owner,Endpoint administrator,Compare policy assignments and device inventory; inspect unsupported or stale-reporting devices.,Platform baseline; assignment coverage; and exception evidence.,On representative test devices verify the intended settings and a relevant access restriction; exercise lost-device reporting with synthetic data.,Device-state observations and response exercise results.,PROTECT,DETECT,Suggested monthly coverage review; after platform; management; or access-policy changes.,Contain uncovered devices according to the approved access plan; recover the user; repair enrollment or policy delivery.,Define supported platforms; reporting freshness; BYOD boundaries; and recovery steps.,https://www.cisecurity.org/controls/secure-configuration-of-enterprise-assets-and-software,../../baselines/README.md,2026-09-17
VCIT-011,Vulnerability work follows exposure and exploitation,Vulnerability management,Known exploit paths do not remain open while low-impact updates consume the queue.,An exposed service with known exploitation is delayed behind routine desktop updates.,Remediation decisions consider known exploitation; exposure; affected data; business criticality; vendor mitigation; and verified closure.,Security or IT lead,Platform owner,Reconcile affected versions and exposure against advisories and the current KEV catalog; inspect decision ownership.,Affected-asset inventory; prioritization rationale; and treatment record.,Retest a selected issue after the change using an approved non-disruptive method; confirm the vulnerable path or version is no longer exposed.,Before/after validation and remaining limitations.,PROTECT,IDENTIFY,At advisory or exposure changes; suggested weekly queue review appropriate to the environment.,Escalate material untreated exposure; apply reviewed mitigation or isolation; verify the result.,Set remediation targets based on the actual scenario; CISA federal deadlines are not automatically every firm’s deadline.,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,../../documentation/cyber-risk/risk-assessment-and-treatment.md,2026-09-17
VCIT-012,Endpoint detections produce an owned response,Endpoint detection,A suspicious endpoint event reaches someone who can act.,Protection software is installed but a serious alert routes to an unmonitored mailbox.,Endpoint coverage; signal health; alert routing; escalation; and containment authority are known and exercised.,Security operations owner,Internal or contracted monitoring team,Inspect sensor coverage and health; alert ownership; and containment permissions.,Coverage record; routing configuration; and response responsibility.,Generate an approved harmless vendor test event on an isolated device; trace detection to triage and a simulated containment decision.,Event timeline; acknowledged ticket; and response decision.,DETECT,RESPOND,Suggested monthly health/routing review; after provider or policy changes.,Restore signal and response coverage; investigate the period of missing visibility and affected devices.,Agree support hours; severity routing; permitted tests; and who authorizes containment.,https://www.cisecurity.org/controls/malware-defenses,../../documentation/cyber-risk/incident-response-record.md,2026-09-17
VCIT-013,SaaS permissions match the approved use,SaaS,An approved product does not automatically receive all available tenant permissions.,A scheduling add-on receives tenant-wide mail access despite needing only a narrow calendar function.,Approval names the workspace; users; data; OAuth/application permissions; sharing settings; and action scope.,Application business owner,SaaS administrator,Compare granted permissions and workspace settings to the recorded use-case approval.,Consent record; effective grants; and change history reference.,Exercise the approved workflow with synthetic data; verify a prohibited resource or action is denied and access can be revoked.,Allowed/denied action and revocation tests.,PROTECT,GOVERN,At onboarding or material capability change; suggested quarterly high-access review.,Reduce unjustified permission or pause the affected capability while the owner resolves the need.,Define permitted data; integrations; support access; and tier-specific controls.,https://www.cisecurity.org/controls/access-control-management,../../documentation/procedures/software-request-and-approval.md,2026-09-17
VCIT-014,Unregistered software gets a decision,SaaS inventory,Shadow tools become a reviewed business decision before confidential information accumulates.,A paid AI or data-room tool appears in expense records but has no owner or offboarding path.,Authorized discovery sources are reconciled with the application register; unexplained tools receive an owner and a risk decision.,IT service owner,IT operations and procurement,Inspect inventory coverage across identity; approved spend; endpoint software; and application requests.,Reconciliation method and unresolved-tool queue.,Trace a fictional unregistered application from discovery to owner; permission review; and retain/remove decision.,Case record and verified follow-through.,IDENTIFY,GOVERN,Suggested monthly reconciliation; at renewal or new integration request.,Determine data/access exposure; apply a proportionate interim boundary; close the ownership and approval gap.,Use authorized discovery sources; do not inspect personal accounts beyond the approved scope.,https://www.cisecurity.org/controls/inventory-and-control-of-software-assets,../../library/templates/service-catalog.csv,2026-09-17
VCIT-015,External collaboration has a defined audience,Data sharing,Diligence and investor materials reach intended collaborators and can be withdrawn.,A deal folder stays accessible to outside participants after the process ends.,Sensitive workspaces have owners; authenticated sharing; reviewed memberships; expiry/review triggers; and resource-level revocation.,Data or deal-workspace owner,Collaboration administrator,Inspect effective site/drive/item permissions and the approved external audience.,Sharing design; membership review; and item-level exception record.,Use synthetic documents to test an intended recipient; an excluded identity; and a removed collaborator after revocation.,Allow/deny/revoke evidence with inheritance limitations.,PROTECT,DETECT,At deal or collaboration closure; suggested periodic review based on data sensitivity.,Remove unintended grants through approved change; assess exposure; verify denied access and downstream copies.,Define internal; fund; portfolio; adviser; and investor audiences separately.,https://www.cisecurity.org/controls/data-protection,../../baselines/README.md,2026-09-17
VCIT-016,Data handling follows sensitivity and purpose,Data governance,People can choose a suitable destination and avoid unnecessary copies.,A confidential investment memo is copied into an unapproved personal workspace or AI prompt.,Data categories map to approved storage; sharing; transfer; AI use; and minimization rules that staff can apply.,Data governance owner,Data owners and IT operations,Inspect classification examples and service/data permission boundaries.,Approved handling matrix and labeled fictional examples.,Give staff representative synthetic cases; verify destination; sharing; and redaction choices match the intended policy.,Scenario decisions; misunderstandings; and corrected guidance.,PROTECT,GOVERN,At onboarding; new data use; or policy change; suggested annual scenario refresh.,Stop an unsuitable transfer; assess any disclosure; improve the decision guidance and permitted alternative.,Define confidential categories; authorized destinations; and who approves exceptions.,https://www.cisecurity.org/controls/data-protection,../../documentation/policies/data-classification-and-handling.md,2026-09-17
VCIT-017,Secrets do not travel with reusable artifacts,Secrets,A repository; workflow; notebook; or support log can be shared without credential access.,An exported n8n flow or troubleshooting transcript contains a live token.,Credentials are injected through approved secret storage; artifacts and logs exclude secret values; exposure has a revocation path.,Application service owner,Developer or automation operator,Inspect secret references; deployment handling; and export/log redaction design.,Secret-handling design and reviewed sanitized artifact.,Use a harmless synthetic marker to exercise detection/redaction; rehearse revocation and dependency recovery without exposing a real secret.,Marker test and credential-response exercise.,PROTECT,RESPOND,Before artifact sharing or deployment; after credential or logging changes.,Restrict the artifact; revoke any actually exposed credential; identify copies and dependent services; retest.,Define approved stores; log access; detector limitations; and emergency rotation ownership.,https://www.cisecurity.org/controls/data-protection,../../documentation/automation-handover-template.md,2026-09-17
VCIT-018,Retention and disposal have a records decision,Records,Needed records remain available and unnecessary copies can be removed deliberately.,A license removal or automated retention change purges records that still have a preservation need.,An authorized records owner approves scope; duration; holds; deletion; and service-specific implementation before destructive changes.,Records or compliance owner,SaaS administrator,Inspect approved schedules and effective workload policies; account for holds and licensing.,Records decision; policy scope; and preservation dependencies.,Use synthetic records to test retention/retrieval and an approved disposal scenario; verify held data follows the intended rule.,Retrieval/disposal test with exclusions and reviewer sign-off.,GOVERN,PROTECT,At records or service changes; before offboarding/deletion; suggested scheduled owner review.,Pause potentially destructive changes; preserve required records; reconcile settings to the authorized decision.,Set durations from applicable requirements with counsel/compliance; no universal period is prescribed here.,https://www.cisecurity.org/controls/data-protection,../../documentation/policies/data-classification-and-handling.md,2026-09-17
VCIT-019,Vendor review follows the access and dependency,Vendor management,Vendor assurance addresses what the firm will actually entrust to the service.,A security report is accepted without checking its scope against a sensitive integration.,Vendor intake records data; access; criticality; provider responsibilities; incident contacts; assurance scope; and unresolved conditions.,Vendor business owner,Procurement with IT/security reviewer,Inspect the planned use against assurance coverage; contract/service boundaries; and onboarding conditions.,Scoped vendor assessment and documented open questions.,Trace one synthetic onboarding condition into the configured service and verify the promised customer-side control works.,Condition-to-implementation trace and test result.,GOVERN,IDENTIFY,Before onboarding; on material service or assurance changes; at risk-based renewal review.,Limit the affected use; obtain missing assurance or a treatment decision; do not infer coverage from a report logo.,Define criticality; permitted data; subcontractors; response expectations; and approval authority.,https://www.cisecurity.org/controls/service-provider-management,../../documentation/procedures/software-request-and-approval.md,2026-09-17
VCIT-020,Provider access ends when its purpose ends,Vendor access,A support relationship does not leave unexplained standing administrative access.,An MSP technician account remains active after a contract or role changes.,Provider access is attributable; limited to the approved task; reviewed; monitored; and revoked at the end of service.,IT service owner,Identity and application administrators,Inspect provider identities; delegated administration; shared credentials; and expiry/review triggers.,Provider access register and effective grant record.,Use a synthetic provider identity to demonstrate permitted support; denied extra scope; and verified removal.,Support-path and access-removal results.,GOVERN,PROTECT,At provider staff/contract changes; suggested quarterly privileged-provider review.,Remove unexplained access; investigate recent use where warranted; fix the provider-to-identity notification path.,Agree temporary versus standing access; monitored sessions; and emergency support conditions.,https://www.cisecurity.org/controls/service-provider-management,../../documentation/policies/identity-and-access.md,2026-09-17
