control_id,category,title,assertion,evidence_to_collect,review_gate,source_urls,scope,applicable,implementation,observed_value,observed_at_utc,reviewer,private_evidence_ref,gap_owner,next_action,due_date
CF-01,registrar,Registrar lock and renewal ownership,"Every firm domain registered through Cloudflare Registrar is locked against transfer, auto-renews with a monitored payment method, carries current registrant contacts, and unlock or authorization-code retrieval is limited to named super administrators.","Domain inventory with lock, expiry, auto-renew, and contact status; member roster showing who can unlock; dated review record.",Anyone with super-admin or admin permission for a zone can manage its registration; a transfer auto-approves on the fifth day if nobody acts; registry lock through Custom Domain Protection is an Enterprise service.,https://developers.cloudflare.com/registrar/account-options/transfer-out-from-cloudflare/ | https://developers.cloudflare.com/registrar/account-options/domain-management/,,,,,,,,,,
CF-02,dns,DNSSEC signed and delegated,"Every firm zone hosted on Cloudflare DNS has DNSSEC enabled with a matching DS record published at the registrar, and validation was confirmed with an external resolver check.","DNSSEC status per zone, registrar DS record, and a dated resolver validation result.",Cloudflare Registrar publishes the DS automatically over one to two days; at another registrar the DS must be added by hand; a provider migration without a multi-signer plan breaks resolution.,https://developers.cloudflare.com/dns/dnssec/ | https://developers.cloudflare.com/registrar/get-started/enable-dnssec/,,,,,,,,,,
CF-03,dns,DNS record change control,"Every record in a firm zone has a documented owner and purpose, changes are made by identifiable members and reviewed in the audit log, and a current zone export is stored outside Cloudflare.","Record inventory with comments or tags, audit log extract for recent DNS changes, and the dated zone export location.","Comments are available on all plans and tags need Pro or above; zone holds that stop another account from adding your zone are Enterprise only; an export is a file, not a tested restore.",https://developers.cloudflare.com/dns/manage-dns-records/reference/record-attributes/ | https://developers.cloudflare.com/dns/manage-dns-records/how-to/import-and-export/ | https://developers.cloudflare.com/fundamentals/account/account-security/zone-holds/,,,,,,,,,,
CF-04,email,Sender authentication records in DNS,"Every firm domain in Cloudflare DNS, including domains that never send mail, publishes the SPF, DKIM, and DMARC records its mail provider documents, and DMARC reports are reviewed by a named owner.","Per-domain record listing, mail-provider setup reference, and a dated DMARC Management or report review.","Record values come from the mail provider, not from Cloudflare examples; DMARC Management needs Cloudflare DNS; Cloudflare Email Security is a separate Zero Trust product and is not required by this control.",https://developers.cloudflare.com/dns/manage-dns-records/how-to/email-records/ | https://developers.cloudflare.com/dmarc-management/,,,,,,,,,,
CF-05,identity,Least-privilege account membership,"Every account member is an identifiable person holding the narrowest role and scope that fits their task, the Super Administrator role is held only by named operators, and membership is reviewed with leavers revoked.","Member roster with roles and scopes, task-to-role review, and the dated removal record for the last leaver.","Only Super Administrators can invite, edit, or revoke members; domain-scoped roles narrow access to selected zones and resource-scoped roles are in beta; test a delegated task before removing a broad role.",https://developers.cloudflare.com/fundamentals/manage-members/roles/ | https://developers.cloudflare.com/fundamentals/manage-members/manage/,,,,,,,,,,
CF-06,identity,Enforced two-factor authentication,"Two-factor authentication is enforced for every account member, administrators use a security key or authenticator app rather than email codes, and each administrator has tested backup codes stored privately.","Account 2FA enforcement setting, per-member method review, and a dated administrator sign-in and backup-code test.",A Super Administrator turns on 2FA Enforcement; dashboard SSO is free on all plans but needs a Zero Trust organization with an identity provider; complete recovery testing before tightening methods.,https://developers.cloudflare.com/fundamentals/user-profiles/2fa/ | https://developers.cloudflare.com/fundamentals/manage-members/dashboard-sso/,,,,,,,,,,
CF-07,integrations,Least-privilege API tokens,"Every API token has an owner, a documented purpose, the minimum permissions and zone scope, an expiry date, and a client IP restriction where the caller is fixed; durable automations use account-owned tokens; no automation uses the Global API Key.","Token inventory from each member profile and the account, permission and expiry review, and confirmation that Global API Key use is absent.","Tokens never expire unless an end date is set; the Global API Key carries the user's full permissions and cannot be scoped; account-owned tokens need a Super Administrator and do not cover every product, including Registrar.",https://developers.cloudflare.com/fundamentals/api/get-started/create-token/ | https://developers.cloudflare.com/fundamentals/api/how-to/restrict-tokens/ | https://developers.cloudflare.com/fundamentals/api/get-started/keys/ | https://developers.cloudflare.com/fundamentals/api/get-started/account-owned-tokens/,,,,,,,,,,
CF-08,monitoring,Audit log review and retention,"Account audit logs are reviewed on an agreed cadence for member, token, DNS, and security changes, the retention window meets the approved need or logs are exported before expiry, and a synthetic change was located in the log.","Review cadence record, a dated retrieval of a synthetic change, and the retention or export decision.",Logs are kept for 18 months; the version 2 dashboard shows 90 days and the API returns the full window; Logpush for audit logs is Enterprise and version 1 and 2 need separate jobs.,https://developers.cloudflare.com/fundamentals/account/account-security/audit-logs/ | https://developers.cloudflare.com/fundamentals/account/account-security/review-audit-logs/,,,,,,,,,,
CF-09,waf,Managed WAF rulesets in blocking mode,"Every proxied firm hostname is covered by the WAF managed rulesets available on its plan, deployed with blocking actions after a logged evaluation period, with any exceptions documented and owned.","Managed ruleset deployment per zone, the evaluation-period event review, and the exception list.",The Free plan receives only the Free Managed Ruleset; the Cloudflare Managed and OWASP rulesets need Pro or above; DNS-only records bypass the WAF entirely.,https://developers.cloudflare.com/waf/managed-rules/,,,,,,,,,,
CF-10,waf,Administrative paths restricted,"Administrative and management paths on proxied hostnames are reachable only from approved sources or identities, enforced with Zone Lockdown, custom rules, or Access, and a request from an unapproved source was tested and denied.","Path inventory, the enforcing rule or Access application, and a dated denied-request test.","Zone Lockdown needs Pro or above with 3, 10, or 200 rules by plan; an IP allowlist fails for travelling staff, so pair it with Access or the WARP egress; test the legitimate administrator path before enforcing.",https://developers.cloudflare.com/waf/tools/zone-lockdown/ | https://developers.cloudflare.com/cloudflare-one/access-controls/applications/http-apps/self-hosted-public-app/,,,,,,,,,,
CF-11,waf,Automated abuse controls,"The bot protection available on the zone's plan is enabled, rate limiting rules protect login, form, and API endpoints with thresholds agreed with the application owner, and both were tested against legitimate clients and integrations.","Bot protection setting, rate limiting rule list with thresholds, and a dated test covering legitimate API clients and a triggered mitigation.","Bot Fight Mode on Free applies to all traffic and cannot exclude clients; Super Bot Fight Mode needs Pro or Business and Bot Management is an Enterprise add-on; rate limiting allows 1, 2, 5, or 100 rules by plan and counters lag by seconds.",https://developers.cloudflare.com/bots/plans/ | https://developers.cloudflare.com/bots/plans/free/ | https://developers.cloudflare.com/bots/plans/pro/ | https://developers.cloudflare.com/waf/rate-limiting-rules/,,,,,,,,,,
CF-12,tls,Minimum TLS and HSTS,"Every proxied firm hostname rejects TLS versions below 1.2, and HSTS is enabled with an approved max-age after confirming that every subdomain in scope serves HTTPS.","Minimum TLS setting per zone, HSTS header capture, and the subdomain HTTPS inventory.",Check legacy client dependencies before raising the minimum; HSTS turns a later return to HTTP into an outage for the max-age period and preload needs 12 months and is hard to reverse; per-hostname minimum TLS needs Advanced Certificate Manager.,https://developers.cloudflare.com/ssl/edge-certificates/additional-options/minimum-tls/ | https://developers.cloudflare.com/ssl/edge-certificates/additional-options/http-strict-transport-security/,,,,,,,,,,
CF-13,tls,Validated origin encryption,"Every proxied zone uses Full (strict) encryption, each origin presents an unexpired certificate from a public CA or Cloudflare Origin CA matching its hostname, and origin certificate expiry dates are tracked by an owner.","Encryption mode per zone, origin certificate inventory with expiry dates, and a dated 526-error check after the last change.",Origin CA certificates are trusted only by Cloudflare and receive no expiry notifications; a mismatched or expired origin certificate produces 526 errors; test one hostname before switching modes.,https://developers.cloudflare.com/ssl/origin-configuration/ssl-modes/full-strict/ | https://developers.cloudflare.com/ssl/origin-configuration/origin-ca/,,,,,,,,,,
CF-14,origin,Origin unreachable except through Cloudflare,"Every origin behind a proxied hostname either has no inbound listener because it connects through Cloudflare Tunnel, or accepts only connections that present the authenticated origin pull certificate and arrive from Cloudflare IP ranges, and a direct-to-origin request was tested and refused.","Origin inventory with connection method, firewall or Tunnel configuration, and a dated direct-to-origin test result.","Authenticated Origin Pulls does not work with Tunnel; the global certificate proves only that a request came from Cloudflare, not from your account; rotate origin IPs after onboarding because historical DNS is public.",https://developers.cloudflare.com/cloudflare-one/networks/connectors/cloudflare-tunnel/ | https://developers.cloudflare.com/ssl/origin-configuration/authenticated-origin-pull/ | https://developers.cloudflare.com/fundamentals/security/protect-your-origin-server/,,,,,,,,,,
