check_id,phase,check,owner_role,approval_required,expected_evidence,depends_on,proposed_target,result_state,actual_result,evidence_ref,performed_by,performed_at_utc,verifier_role,verification_state,verification_result,verified_by,verified_at_utc,exception_id,notes,fictional
ONB-01,Intake,"Authenticate the request and confirm identity, engagement, current start time and time zone",Proposed People owner or authorized sponsor,Authorized personnel or sponsor request,Verified request reference; identity check; current revision and authorized preparation/activation conditions,,Before preparation,not_started,,,,,Proposed IT coordinator,not_run,,,,,Keep personnel details in the protected case; a display name or forwarded request alone is insufficient.,true
ONB-02,Intake,"Resolve existing identity, rehire, guest, naming and authoritative-directory conflicts",Proposed Identity operator,Preparation authority from the authenticated request,Directory reconciliation and conflict decision; intended identity and environment,ONB-01,Before account creation,not_started,,,,,Proposed Independent identity reviewer,not_run,,,,,Do not merge or duplicate identities based only on matching names.,true
ONB-03,Approval,"Approve the work-based service and entitlement matrix, including excluded and privileged scope",Proposed Manager and system owners,System/data owner approval; separate security approval where required,"Approved service-by-service scope, duration and entitlement decisions",ONB-01;ONB-02,Before grants,not_started,,,,,Proposed Access reviewer,not_run,,,,,Requesting and approving sensitive access must be separate; include direct and automatic grants.,true
ONB-04,Approval,"Set temporary-access expiry, sponsor and removal owner or record why this is not applicable",Proposed Sponsor and IT coordinator,Authorized engagement duration and expiry plan,Approved end time and time zone; removal task and owner or applicability rationale,ONB-01,Before temporary access activation,not_started,,,,,Proposed Access reviewer,not_run,,,,,Silence is not renewal; an approved extension updates scope and end time explicitly.,true
ONB-05,Preparation,"Verify required license/features, seat availability and purchase authority",Proposed Purchasing owner and service operator,Spending approval if needed; approved access scope,Entitlement and feature check; purchase decision where needed,ONB-03,Before the dependent service grant,not_started,,,,,Proposed Service owner,not_run,,,,,An available seat does not establish that required security or records controls are licensed.,true
ONB-06,Preparation,Create or reconcile identity and verify the approved activation boundary,Proposed Identity operator,Approved identity and activation condition,Observed authoritative identity state and downstream activation limits,ONB-02;ONB-03;ONB-04,Before bootstrap release,not_started,,,,,Proposed Independent identity reviewer,not_run,,,,,Staging may trigger invitations or grants; use the actual platform runbook and do not assume a staging mode.,true
ONB-07,Provisioning,Apply approved service grants and observe each target provisioning result,Proposed Application operators,Approved service-specific scope and required licenses,"Target account, group and entitlement observations; failed or pending job records",ONB-03;ONB-05;ONB-06,Before the service is represented as ready,not_started,,,,,Proposed System owners,not_run,,,,,Expand by service; a source assignment or accepted job alone does not demonstrate usable access.,true
ONB-08,Device,Prepare the assigned device and verify the adopted build controls,Proposed Device operator,Approved device/ownership model and current build standard,"Device identity, enrollment and applicable control results; protected recovery capability",ONB-01,Before device release,not_started,,,,,Proposed Device reviewer,not_run,,,,,No recovery secrets in the case; inventory registration alone is not proof of security controls.,true
ONB-09,Device,Verify recipient and record actual asset custody or an approved alternative,Proposed Asset coordinator,Authorized delivery and recipient-verification method,Asset assignment and recipient receipt; approved alternative if applicable,ONB-08,At handover,not_started,,,,,Proposed IT coordinator,not_run,,,,,A shipping label is not receipt; do not infer permission for unmanaged personal-device use.,true
ONB-10,Authentication,Deliver approved bootstrap access through the protected recipient-verification process,Proposed Identity operator,Approved activation condition and secure bootstrap method,Recipient-check reference; issuance/expiry metadata without the secret; delivery outcome,ONB-04;ONB-06,At authorized activation,not_started,,,,,Proposed Identity reviewer,not_run,,,,,"Do not request the user password, factor seed, recovery codes or authentication approval; re-verify expired bootstrap requests.",true
