risk_id,scenario,threat_source,affected_assets,related_controls,inherent_likelihood,inherent_impact,inherent_rating,residual_likelihood,residual_impact,residual_rating,status,owner_role,treatment,target_date,verification_evidence,acceptance_authority,review_date
AWS-RISK-01,"A long-lived IAM access key saved in a script, laptop, or shared drive is exposed and used to read and copy firm data",External actor using a leaked credential,Every resource reachable by the key; deal and investor material in S3,AWS-05;AWS-06;AWS-09;AWS-10,3,3,3 x 3 = 9 Critical,1,3,1 x 3 = 3 Moderate,Proposed,Cloud platform owner,Replace human keys with IAM Identity Center federation and workload keys with roles; review the credential report; alarm on key creation and use,Unassigned,Pending,Unassigned,Unassigned
AWS-RISK-02,"A bucket policy, ACL, or shared snapshot makes diligence material readable by anyone on the internet",Staff or automation misconfiguration; opportunistic scanning,"Diligence data room exports, board packs, investor reports",AWS-12;AWS-13;AWS-06;AWS-11,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Data owner with cloud platform owner,Enforce account-level Block Public Access; keep encryption by default so snapshots cannot be shared publicly; review Access Analyzer for S3 findings,Unassigned,Pending,Unassigned,Unassigned
AWS-RISK-03,A root user without MFA or with an access key is phished or reused and the account is taken over including billing and support,External actor targeting root credentials,"Entire account, billing contacts, and every workload in it",AWS-03;AWS-01;AWS-09,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Cloud platform owner,"Register MFA on every root user, delete root access keys, centralize or remove member-account root credentials, and alarm on root sign-in",Unassigned,Pending,Unassigned,Unassigned
AWS-RISK-04,Recovery points are deleted or re-encrypted by a compromised administrator session or a mistaken cleanup and no independent copy exists,Ransomware operator or privileged user error,"Databases, file systems, and volumes for the firm's workloads",AWS-18;AWS-14;AWS-02;AWS-06,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Recovery owner,"Copy recovery points to a separate account or a vault-locked vault, protect the KMS keys they depend on, and prove a restore within the review window",Unassigned,Pending,Unassigned,Unassigned
AWS-RISK-05,"A GuardDuty finding is generated but nobody owns the queue, so a compromise continues for weeks",Any intrusion that GuardDuty detects,Whichever workload the finding concerns; investigation evidence,AWS-10;AWS-09;AWS-11,3,2,3 x 2 = 6 High,1,2,1 x 2 = 2 Low,Proposed,Security operations owner,"Name a finding owner, route findings to a monitored channel, and record triage decisions for medium severity and above",Unassigned,Pending,Unassigned,Unassigned
AWS-RISK-06,"The identity provider or IAM Identity Center is unavailable and no tested emergency path exists, so administrators cannot respond to an incident","Provider outage, misconfiguration, or attack on the provider",Administrative access to every account during an incident,AWS-07;AWS-03;AWS-09,2,2,2 x 2 = 4 Moderate,1,2,1 x 2 = 2 Low,Proposed,Cloud platform owner,"Design and rehearse emergency access with named accounts, MFA, no access keys, and alerting on use",Unassigned,Pending,Unassigned,Unassigned
AWS-RISK-07,A permission set grants administrator access to someone whose role does not need it and a mistake or hijacked session deletes or exposes resources,Insider error or compromised federated session,Production workloads and their data,AWS-06;AWS-02;AWS-20;AWS-04,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Cloud platform owner,"Map permission sets to job functions, restrict administrative sets to named operators, shorten sessions, and review unused access",Unassigned,Pending,Unassigned,Unassigned
AWS-RISK-08,A database instance is publicly accessible with a permissive security group and is brute forced or exploited,External actor scanning for exposed databases,Application databases holding firm records,AWS-16;AWS-15;AWS-10;AWS-11,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Workload owner,"Set database instances to not publicly accessible, restrict security groups to application sources, and keep credentials in Secrets Manager",Unassigned,Pending,Unassigned,Unassigned
AWS-RISK-09,A web application flaw lets an attacker reach the instance metadata service and harvest the instance role credentials,External actor exploiting server-side request forgery,Instance role permissions and the data they reach,AWS-17;AWS-06;AWS-10,2,2,2 x 2 = 4 Moderate,1,2,1 x 2 = 2 Low,Proposed,Workload owner,"Require IMDSv2 on every instance and at the account level, keep instance roles narrow, and watch GuardDuty credential findings",Unassigned,Pending,Unassigned,Unassigned
AWS-RISK-10,CloudTrail is stopped or its logs altered in one account and the firm cannot reconstruct what happened,Attacker covering tracks or administrator error,Audit trail for every account; incident investigation,AWS-08;AWS-02;AWS-09,2,2,2 x 2 = 4 Moderate,1,2,1 x 2 = 2 Low,Proposed,Security operations owner,"Run an organization trail into a dedicated log account with log file validation, deny StopLogging through SCP, and alarm on trail changes",Unassigned,Pending,Unassigned,Unassigned
AWS-RISK-11,Compromised credentials are used for cryptomining or bulk resource creation and the firm learns from the invoice,External actor monetizing stolen access,Account spend and the compromised account's resources,AWS-19;AWS-10;AWS-05,2,2,2 x 2 = 4 Moderate,1,2,1 x 2 = 2 Low,Proposed,Finance operations owner with cloud platform owner,"Set budgets with forecast alerts, enable Cost Anomaly Detection, and treat anomaly alerts as security triage items",Unassigned,Pending,Unassigned,Unassigned
AWS-RISK-12,A database password or API token is committed to a repository and later used by someone outside the firm,External actor finding secrets in code,The service the secret unlocks and the data behind it,AWS-15;AWS-16;AWS-10;AWS-20,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Workload owner,"Move secrets to Secrets Manager with rotation where supported, scan repositories for embedded secrets, and restrict who can read them",Unassigned,Pending,Unassigned,Unassigned
