risk_id,scenario,threat_source,affected_assets,related_controls,inherent_likelihood,inherent_impact,inherent_rating,residual_likelihood,residual_impact,residual_rating,status,owner_role,treatment,target_date,verification_evidence,acceptance_authority,review_date
M365-RISK-01,"A Global Administrator is phished and the attacker signs in through a legacy authentication client that never sees the MFA prompt, then changes tenant settings",External attacker using credential phishing or password spray,Entra tenant configuration; every workload behind it,M365-02;M365-03;M365-06;M365-22;M365-23,3,3,3 x 3 = 9 Critical,1,3,1 x 3 = 3 Moderate,Proposed,Identity service owner,"Block legacy authentication, require phishing-resistant authentication strength for administrator roles, convert standing roles to eligible PIM assignments, and add risk-based sign-in and user policies; verify with sign-in log tests for each protocol",Unassigned,Pending,Unassigned,Unassigned
M365-RISK-02,A Conditional Access change or an MFA service disruption locks out every administrator and no emergency account can sign in,Internal configuration error or identity service outage,Tenant administration and every dependent recovery step,M365-04;M365-20,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Identity service owner,"Maintain two cloud-only emergency accounts with passkeys excluded from blocking policies, alert on their use, drill them at least quarterly, and pilot access changes in report-only mode with a tested rollback",Unassigned,Pending,Unassigned,Unassigned
M365-RISK-03,A guest from a counterparty keeps access to a deal Teams channel and its SharePoint files after the transaction closes,Former external collaborator; stale access,"Deal workspace, term sheets, models and correspondence",M365-09;M365-10,3,2,3 x 2 = 6 High,1,2,1 x 2 = 2 Low,Proposed,Collaboration service owner,"Give every guest a sponsor and end date, set site-level guest expiry, run periodic access reviews or a documented sponsor review, and test that removal revokes access at the resource",Unassigned,Pending,Unassigned,Unassigned
M365-RISK-04,"A user consents to a third-party productivity app that reads mail and files, and the app is later abused or breached",Malicious or compromised third-party application; consent phishing,"Mailboxes, OneDrive content and Microsoft Graph data",M365-11;M365-12,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Application governance owner,"Restrict user consent to verified publishers and low-impact permissions, enable the admin consent request workflow, and recertify granted permissions and owners quarterly",Unassigned,Pending,Unassigned,Unassigned
M365-RISK-05,Confidential files are opened and cached on an unmanaged or lost personal device,Device theft or malware on an unmanaged endpoint,SharePoint and OneDrive confidential content; cached mail,M365-07;M365-08;M365-24,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Endpoint service owner,"Require Intune compliance with encryption for sensitive workloads, treat devices without a compliance policy as not compliant, and encrypt the highest confidentiality label so cached copies stay protected",Unassigned,Pending,Unassigned,Unassigned
M365-RISK-06,A Copilot prompt summarizes a document that was shared with Everyone except external users years ago,"Internal user, curious or malicious, using AI grounding over overshared content","HR, finance and deal documents on overshared sites",M365-09;M365-24;M365-25,3,2,3 x 2 = 6 High,1,2,1 x 2 = 2 Low,Proposed,Information governance owner,"Run data access governance reports, remediate broad permissions, apply container labels, exclude highly confidential labels from Copilot processing with a DLP policy, and repeat a synthetic prompt test after remediation",Unassigned,Pending,Unassigned,Unassigned
M365-RISK-07,An attacker spoofs the firm's domain to send changed wire instructions to an investor because DMARC is not enforced,External attacker conducting business email compromise,"Brand domain reputation, investor relationships and funds in transit",M365-13;M365-14;M365-15,3,3,3 x 3 = 9 Critical,1,3,1 x 3 = 3 Moderate,Proposed,Messaging service owner,"Complete the sender inventory and SPF record, enable DKIM for every sending domain, move DMARC from monitoring to reject in stages while reviewing aggregate reports; lookalike domains remain a residual exposure",Unassigned,Pending,Unassigned,Unassigned
M365-RISK-08,A staff member clicks a link in email or Teams that was clean at delivery and weaponized afterwards,External attacker using delayed-weaponization phishing,"User credentials, sessions and endpoints",M365-21;M365-22,3,2,3 x 2 = 6 High,2,2,2 x 2 = 4 Moderate,Proposed,Messaging service owner,"Assign the Standard preset security policy, confirm Safe Links time-of-click protection in email, Teams and Office apps for the licensed population, and use risk-based policies to contain a compromised session",Unassigned,Pending,Unassigned,Unassigned
M365-RISK-09,A SharePoint site is encrypted by ransomware or bulk deleted and no measured restore exists,"Ransomware, malicious insider or accidental deletion","SharePoint and OneDrive content, versions and permissions",M365-18;M365-19,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Recovery owner,"Select a recovery method with agreed recovery objectives, protect the critical sites, run a measured restore that checks content and permissions, and stop treating retention as a backup",Unassigned,Pending,Unassigned,Unassigned
M365-RISK-10,An investigation cannot reconstruct a compromised account's activity because the sign-in and audit records expired,Any incident combined with a monitoring control failure,Entra sign-in and audit logs; Purview unified audit log,M365-16;M365-17,2,2,2 x 2 = 4 Moderate,1,2,1 x 2 = 2 Low,Proposed,Security monitoring owner,"Route Entra logs to a workspace or storage for the approved retention, verify Purview audit retention and per-user licensing, and prove retrieval with a synthetic event",Unassigned,Pending,Unassigned,Unassigned
M365-RISK-11,A deletion rule in a retention policy purges deal records that are under hold or needed for a regulator request,Misconfigured retention or deletion setting,Exchange and SharePoint records subject to a records schedule or hold,M365-18;M365-20,2,3,2 x 3 = 6 High,1,3,1 x 3 = 3 Moderate,Proposed,Records owner,"Adopt an approved records schedule, review the principles of retention and any holds before rollout, stage the policy on a pilot scope, and keep a records-owner approval for each deletion rule",Unassigned,Pending,Unassigned,Unassigned
